,Symbol,Identifier,Company,ISIN,Sector
0,SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07PO9,NIFTY 50
1,CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY 50
2,DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024,NIFTY 50
3,BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024,NIFTY 50
4,APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY 50
5,ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042,NIFTY 50
6,WIPRO,WIPROEQN,Wipro Limited,INE075A01022,NIFTY 50
7,TATASTEEL,TATASTEELEQN,TATA Steel Limited,INE081A03018,NIFTY 50
8,ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY 50
9,SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A04014,NIFTY 50
10,SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016,NIFTY 50
11,LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY 50
12,HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY 50
13,HINDALCO,HINDALCOEQN,Hindalco Industries Limited,INE038A01020,NIFTY 50
14,INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY 50
15,HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY 50
16,COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014,NIFTY 50
17,JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038,NIFTY 50
18,M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026,NIFTY 50
19,ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY 50
20,TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY 50
21,TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY 50
22,EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021,NIFTY 50
23,BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A13011,NIFTY 50
24,BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010,NIFTY 50
25,LT,LTEQN,Larsen & Toubro Limited,INE018A01030,NIFTY 50
26,KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028,NIFTY 50
27,ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY 50
28,INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY 50
29,GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021,NIFTY 50
30,TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029,NIFTY 50
31,ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026,NIFTY 50
32,ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY 50
33,DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY 50
34,HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026,NIFTY 50
35,POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY 50
36,SBIN,SBINEQN,State Bank of India,INE062A01020,NIFTY 50
37,MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010,NIFTY 50
38,RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018,NIFTY 50
39,NTPC,NTPCEQN,NTPC Limited,INE733E07JH3,NIFTY 50
40,BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011,NIFTY 50
41,BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026,NIFTY 50
42,TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036,NIFTY 50
43,BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052,NIFTY 50
44,TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NIFTY 50
45,HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027,NIFTY 50
46,AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034,NIFTY 50
47,HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013,NIFTY 50
48,NESTLEIND,NESTLEINDEQN,Nestle India Limited,INE239A01024,NIFTY 50
49,ONGC,ONGCEQN,Oil & Natural Gas Corporation Limited,INE213A01029,NIFTY 50
50,TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY NEXT 50
51,VEDL,VEDLEQN,Vedanta Limited,INE205A01025,NIFTY NEXT 50
52,JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY NEXT 50
53,CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011,NIFTY NEXT 50
54,ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY NEXT 50
55,PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY NEXT 50
56,BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY NEXT 50
57,ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY NEXT 50
58,NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY NEXT 50
59,ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015,NIFTY NEXT 50
60,ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY NEXT 50
61,RECLTD,RECLTDEQN,REC Limited,INE020B07IF7,NIFTY NEXT 50
62,LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY NEXT 50
63,SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY NEXT 50
64,TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY NEXT 50
65,MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY NEXT 50
66,TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY NEXT 50
67,BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038,NIFTY NEXT 50
68,DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY NEXT 50
69,PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY NEXT 50
70,BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY NEXT 50
71,CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY NEXT 50
72,HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY NEXT 50
73,VBL,VBLEQN,Varun Beverages Limited,INE200M01021,NIFTY NEXT 50
74,AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY NEXT 50
75,IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY NEXT 50
76,TRENT,TRENTEQN,Trent Limited,INE849A13017,NIFTY NEXT 50
77,SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY NEXT 50
78,INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027,NIFTY NEXT 50
79,JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017,NIFTY NEXT 50
80,PIDILITIND,PIDILITINDEQN,Pidilite Industries Limited,INE318A01026,NIFTY NEXT 50
81,ATGL,ATGLEQN,Adani Total Gas Limited,INE399L01023,NIFTY NEXT 50
82,GAIL,GAILEQN,GAIL (India) Limited,INE129A01019,NIFTY NEXT 50
83,SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015,NIFTY NEXT 50
84,BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY NEXT 50
85,HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034,NIFTY NEXT 50
86,MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY NEXT 50
87,ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY NEXT 50
88,BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026,NIFTY NEXT 50
89,DABUR,DABUREQN,Dabur India Limited,INE016A01026,NIFTY NEXT 50
90,ICICIGI,ICICIGIEQN,ICICI Lombard General Insurance Company Limited,INE765G01017,NIFTY NEXT 50
91,IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561,NIFTY NEXT 50
92,IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010,NIFTY NEXT 50
93,ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY NEXT 50
94,COLPAL,COLPALEQN,Colgate Palmolive (India) Limited,INE259A01022,NIFTY NEXT 50
95,GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028,NIFTY NEXT 50
96,ADANIGREEN,ADANIGREENEQN,Adani Green Energy Limited,INE364U01010,NIFTY NEXT 50
