title,url,type
Q1 results: Infosys grows fastest among top four Indian IT companies,https://www.moneycontrol.com/technology/top-gun-infosys-soars-past-big-four-it-rivals-in-q1fy25-growth-article-12773585.html,general
"Infosys has beaten its nearest rivals in metrics such as constant currency revenue growth and margins. However, its headcount declined in Q1.",https://www.moneycontrol.com/technology/top-gun-infosys-soars-past-big-four-it-rivals-in-q1fy25-growth-article-12773585.html,general
Q1 results: Infosys grows fastest among top four Indian IT companies,https://www.moneycontrol.com/technology/top-gun-infosys-soars-past-big-four-it-rivals-in-q1fy25-growth-article-12773585.html,general
Q1 results: Infosys grows fastest among top four Indian IT companies,https://www.moneycontrol.com/technology/top-gun-infosys-soars-past-big-four-it-rivals-in-q1fy25-growth-article-12773585.html,general
"HDFC Bank greenlights HDB Financial Services IPO, explores additional stake sale",https://www.moneycontrol.com/news/business/markets/hdfc-bank-greenlights-hdb-financial-services-ipo-explores-additional-stake-sale-12773768.html,general
12 new micro-cap stocks that PMS managers bought in June,https://www.moneycontrol.com/news/photos/business/personal-finance/12-new-micro-cap-stocks-that-pms-managers-bought-in-june-12772475.html,general
HDFC Bank net gains Rs 482.87 crore after transition to revised norms on bank investment portfolio,https://www.moneycontrol.com/news/business/hdfc-bank-net-gains-rs-482-87-crore-after-transition-to-revised-norms-on-bank-investment-portfolio-12773685.html,general
See More News,/news/,general
"HDFC Bank Q1 results: PAT rises 35% on-year to Rs 16,174.75 crore",https://www.moneycontrol.com/news/business/hdfc-bank-q1-results-pat-rises-35-on-year-to-rs-16174-75-crore-12773655.html,general
"Kotak Mahindra Bank Q1 results: Net profit rises 81% to Rs 6,250 crore, beats market estimates",https://www.moneycontrol.com/news/business/earnings/kotak-mahindra-bank-q1-results-net-profit-rises-81-to-rs-6250-crore-beating-market-estimates-12773601.html,general
YES Bank Q1 results: PAT rises 47% on-year to Rs 502 crore,https://www.moneycontrol.com/news/business/earnings/yes-bank-q1-results-pat-rises-47-on-year-to-rs-502-crore-12773638.html,general
These smallcaps gain 10-50% despite the underperformance of broader indices,https://www.moneycontrol.com/news/business/markets/these-smallcaps-gain-10-50-despite-broader-indices-underperform-12773539.html,general
"Kerala govt confirms Nipah infection in 14-year-old boy, locals advised to mask up",https://www.moneycontrol.com/news/india/kerala-govt-confirms-nipah-infection-in-14-year-old-boy-locals-advised-to-wear-face-masks-12773762.html,general
Rising tensions between Yogi government & Apna Dal (S): A political tug-of-war,https://www.moneycontrol.com/news/india/rising-tensions-between-yogi-government-and-apna-dal-s-a-political-tug-of-war-12773736.html,general
CrowdStrike-related outage affected  8.5 million Windows devices: Microsoft,https://www.moneycontrol.com/news/world/crowdstrike-related-outage-affected-8-5-million-windows-devices-world-12773789.html,general
"SBI, Bank of Baroda roll out special, short-term FD schemes: Should you invest?",https://www.moneycontrol.com/news/business/personal-finance/sbi-bank-of-baroda-roll-out-special-short-term-fd-schemes-should-you-invest-12771111.html,general
How Paytm could catch a windfall from stake in SoftBank’s PayPay,https://www.moneycontrol.com/technology/how-paytm-could-catch-a-windfall-from-stake-in-softbanks-paypay-article-12773070.html,general
Replace halal with humanity: Kangana Ranaut on Sonu Sood's post about UP govt order on Kanwar Yatra,https://www.moneycontrol.com/news/india/replace-halal-with-humanity-kangana-ranaut-on-sonu-soods-post-about-up-govt-order-on-kanwar-yatra-12773659.html,general
"Air India issues apology to passengers of Delhi-San Francisco flight, offers full fare refund",https://www.moneycontrol.com/news/business/companies/air-india-issues-apology-to-passengers-of-delhi-san-francisco-flight-offers-full-fare-refund-12773665.html,general
"NEET-UG leak case: CBI nabs NIT graduate, 2 MBBS students who acted as 'solvers', 21 arrested so far",https://www.moneycontrol.com/news/india/neet-ug-leak-case-cbi-nabs-nit-graduate-2-mbbs-students-who-acted-as-solvers-21-arrested-so-far-12773771.html,general
"Lessons from defeats, training in Marseille: Lakshya Sen promises his best in Olympic debut",https://www.moneycontrol.com/sports/olympics/paris-olympics-lakshya-sen-india-badminton-jonatan-christie-article-12773753.html,general
