,Symbol,Identifier,Company,ISIN
0,SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07PO9
1,CIPLA,CIPLAEQN,Cipla Limited,INE059A01026
2,DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024
3,BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024
4,APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024
5,ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042
6,WIPRO,WIPROEQN,Wipro Limited,INE075A01022
7,TATASTEEL,TATASTEELEQN,TATA Steel Limited,INE081A03018
8,ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024
9,SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A04014
10,SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016
11,LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019
12,HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027
13,HINDALCO,HINDALCOEQN,Hindalco Industries Limited,INE038A01020
14,INFY,INFYEQN,Infosys Limited,INE009A01021
15,HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014
16,COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014
17,JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038
18,M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026
19,ITC,ITCEQN,ITC Limited,INE154A01025
20,TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022
21,TITAN,TITANEQN,Titan Company Limited,INE280A07025
22,EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021
23,BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A13011
24,BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010
25,LT,LTEQN,Larsen & Toubro Limited,INE018A01030
26,KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028
27,ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011
28,INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012
29,GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021
30,TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029
31,ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026
32,ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021
33,DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051
34,HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026
35,POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010
36,SBIN,SBINEQN,State Bank of India,INE062A01020
37,MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010
38,RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018
39,NTPC,NTPCEQN,NTPC Limited,INE733E07JH3
40,BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011
41,BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026
42,TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036
43,BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052
44,TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025
45,HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027
46,AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034
47,HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013
48,NESTLEIND,NESTLEINDEQN,Nestle India Limited,INE239A01024
49,ONGC,ONGCEQN,Oil & Natural Gas Corporation Limited,INE213A01029
50,TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021
51,VEDL,VEDLEQN,Vedanta Limited,INE205A01025
52,JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030
53,CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011
54,ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019
55,PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422
56,BEL,BELEQN,Bharat Electronics Limited,INE263A01024
57,ABB,ABBEQN,ABB India Limited,INE117A01022
58,NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024
59,ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015
60,ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011
61,RECLTD,RECLTDEQN,REC Limited,INE020B07IF7
62,LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017
63,SRF,SRFEQN,SRF Limited,INE647A01010
64,TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028
65,MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035
66,TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023
67,BERGEPAINT,BERGEPAINTEQN,Berger Paints (I) Limited,INE463A01038
