,title,url,type,date,content,stock_map
0,"Vodafone Idea drops 13%, Indus Towers falls 6% after Goldman Sachs flags concerns",https://www.moneycontrol.com/news/business/markets/vodafone-idea-drops-13-indus-towers-falls-6-after-goldman-flags-concerns-12815692.html,general,2024-09-06 10:40:00+05:30,"Shares of Vodafone Idea and Indus Towers took a massive dive on September 6 after Goldman Sachs, in its latest research report, expressed concerns over the telecom companies.Â Vodafone Idea's shares fell over 13 percent and hit a 52-week low of Rs 9.55 after Goldman maintained its 'Sell' rating on the stock but slightly increased the target price to Rs 2.5 from Rs 2.2, which suggested an 83 percent downside in the stock price.Â  Goldman, in its report, said that the company faces difficulties in achieving free cash flow break-even and recovering market share. The outlook for Vodafone Idea seemed bleak with Goldman anticipating Vodafone Idea to lose another 300 basis points in market share over the next 3-4 years. Even in an optimistic scenario - where the company's adjusted gross revenue (AGR) dues are slashed by 65 percent, tariffs consistently increase, and no near-term government repayments are required - Goldman still sees a best-case implied value per share of just Rs 19 Follow our live blog for all the market action Indus Towers' shares fell over 6 perent after Goldman downgraded the stock to 'Sell' from 'Neutral' rating, although it hiked the target price to Rs 350 from Rs 220. Goldman noted a disconnect between the company's fundamentals and its current valuations while also saying that the recent re-rating of Indus Towers is overdone. The firm sees limited visibility on medium- and long-term growth prospects. Goldman Sachs would adopt a more constructive stance only if Vodafone Idea, one of Indus's key clients, can successfully repair its balance sheet. Notably, Indus Towers' stock has surged over 75 percent in the past six months and is currently trading at Rs 443, which is 26 percent above Goldman Sachs' target price of Rs 350. Also Read |Â Govt won't interfere in Vodafone Idea's affairs, says telecom minister Scindia However, for Bharti Airtel, Goldman Sachs significantly raised its target price to Rs 1,700 from the previous Rs 900, indicating an upside of 10 percent from the stock's current market price. The firm has also maintained its 'Buy' rating. The global brokerage said thatÂ strong growth and a turning point in free cash flow (FCF) and returns profile, warrant the stock's premium valuation. Goldman believes Bharti Airtel's growth momentum will continue, driven by market share gains, organic growth levers, and potential future tariff hikes. The company's India revenue and EBITDA are expected to grow at 16 percent and 21 percent CAGR over FY24-27. Additionally, Goldman foresees Bharti Airtel achieving improvements in its balance sheet. The brokerage firm expects the company's net debt to approach zero by FY28. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","bharti airtel,indus towers,vodafone idea"
1,"Goldman Sachs has released a mixed outlook on India's telecom sector, expressing optimism for Bharti Airtel while raising concerns about Vodafone Idea and Indus Towers.",https://www.moneycontrol.com/news/business/markets/vodafone-idea-drops-13-indus-towers-falls-6-after-goldman-flags-concerns-12815692.html,general,2024-09-06 10:40:00+05:30,"Shares of Vodafone Idea and Indus Towers took a massive dive on September 6 after Goldman Sachs, in its latest research report, expressed concerns over the telecom companies.Â Vodafone Idea's shares fell over 13 percent and hit a 52-week low of Rs 9.55 after Goldman maintained its 'Sell' rating on the stock but slightly increased the target price to Rs 2.5 from Rs 2.2, which suggested an 83 percent downside in the stock price.Â  Goldman, in its report, said that the company faces difficulties in achieving free cash flow break-even and recovering market share. The outlook for Vodafone Idea seemed bleak with Goldman anticipating Vodafone Idea to lose another 300 basis points in market share over the next 3-4 years. Even in an optimistic scenario - where the company's adjusted gross revenue (AGR) dues are slashed by 65 percent, tariffs consistently increase, and no near-term government repayments are required - Goldman still sees a best-case implied value per share of just Rs 19 Follow our live blog for all the market action Indus Towers' shares fell over 6 perent after Goldman downgraded the stock to 'Sell' from 'Neutral' rating, although it hiked the target price to Rs 350 from Rs 220. Goldman noted a disconnect between the company's fundamentals and its current valuations while also saying that the recent re-rating of Indus Towers is overdone. The firm sees limited visibility on medium- and long-term growth prospects. Goldman Sachs would adopt a more constructive stance only if Vodafone Idea, one of Indus's key clients, can successfully repair its balance sheet. Notably, Indus Towers' stock has surged over 75 percent in the past six months and is currently trading at Rs 443, which is 26 percent above Goldman Sachs' target price of Rs 350. Also Read |Â Govt won't interfere in Vodafone Idea's affairs, says telecom minister Scindia However, for Bharti Airtel, Goldman Sachs significantly raised its target price to Rs 1,700 from the previous Rs 900, indicating an upside of 10 percent from the stock's current market price. The firm has also maintained its 'Buy' rating. The global brokerage said thatÂ strong growth and a turning point in free cash flow (FCF) and returns profile, warrant the stock's premium valuation. Goldman believes Bharti Airtel's growth momentum will continue, driven by market share gains, organic growth levers, and potential future tariff hikes. The company's India revenue and EBITDA are expected to grow at 16 percent and 21 percent CAGR over FY24-27. Additionally, Goldman foresees Bharti Airtel achieving improvements in its balance sheet. The brokerage firm expects the company's net debt to approach zero by FY28. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","bharti airtel,indus towers,vodafone idea"
2,"Vodafone Idea drops 13%, Indus Towers falls 6% after Goldman Sachs flags concerns",https://www.moneycontrol.com/news/business/markets/vodafone-idea-drops-13-indus-towers-falls-6-after-goldman-flags-concerns-12815692.html,general,2024-09-06 10:40:00+05:30,"Shares of Vodafone Idea and Indus Towers took a massive dive on September 6 after Goldman Sachs, in its latest research report, expressed concerns over the telecom companies.Â Vodafone Idea's shares fell over 13 percent and hit a 52-week low of Rs 9.55 after Goldman maintained its 'Sell' rating on the stock but slightly increased the target price to Rs 2.5 from Rs 2.2, which suggested an 83 percent downside in the stock price.Â  Goldman, in its report, said that the company faces difficulties in achieving free cash flow break-even and recovering market share. The outlook for Vodafone Idea seemed bleak with Goldman anticipating Vodafone Idea to lose another 300 basis points in market share over the next 3-4 years. Even in an optimistic scenario - where the company's adjusted gross revenue (AGR) dues are slashed by 65 percent, tariffs consistently increase, and no near-term government repayments are required - Goldman still sees a best-case implied value per share of just Rs 19 Follow our live blog for all the market action Indus Towers' shares fell over 6 perent after Goldman downgraded the stock to 'Sell' from 'Neutral' rating, although it hiked the target price to Rs 350 from Rs 220. Goldman noted a disconnect between the company's fundamentals and its current valuations while also saying that the recent re-rating of Indus Towers is overdone. The firm sees limited visibility on medium- and long-term growth prospects. Goldman Sachs would adopt a more constructive stance only if Vodafone Idea, one of Indus's key clients, can successfully repair its balance sheet. Notably, Indus Towers' stock has surged over 75 percent in the past six months and is currently trading at Rs 443, which is 26 percent above Goldman Sachs' target price of Rs 350. Also Read |Â Govt won't interfere in Vodafone Idea's affairs, says telecom minister Scindia However, for Bharti Airtel, Goldman Sachs significantly raised its target price to Rs 1,700 from the previous Rs 900, indicating an upside of 10 percent from the stock's current market price. The firm has also maintained its 'Buy' rating. The global brokerage said thatÂ strong growth and a turning point in free cash flow (FCF) and returns profile, warrant the stock's premium valuation. Goldman believes Bharti Airtel's growth momentum will continue, driven by market share gains, organic growth levers, and potential future tariff hikes. The company's India revenue and EBITDA are expected to grow at 16 percent and 21 percent CAGR over FY24-27. Additionally, Goldman foresees Bharti Airtel achieving improvements in its balance sheet. The brokerage firm expects the company's net debt to approach zero by FY28. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","bharti airtel,indus towers,vodafone idea"
3,"Vodafone Idea drops 13%, Indus Towers falls 6% after Goldman Sachs flags concerns",https://www.moneycontrol.com/news/business/markets/vodafone-idea-drops-13-indus-towers-falls-6-after-goldman-flags-concerns-12815692.html,general,2024-09-06 10:40:00+05:30,"Shares of Vodafone Idea and Indus Towers took a massive dive on September 6 after Goldman Sachs, in its latest research report, expressed concerns over the telecom companies.Â Vodafone Idea's shares fell over 13 percent and hit a 52-week low of Rs 9.55 after Goldman maintained its 'Sell' rating on the stock but slightly increased the target price to Rs 2.5 from Rs 2.2, which suggested an 83 percent downside in the stock price.Â  Goldman, in its report, said that the company faces difficulties in achieving free cash flow break-even and recovering market share. The outlook for Vodafone Idea seemed bleak with Goldman anticipating Vodafone Idea to lose another 300 basis points in market share over the next 3-4 years. Even in an optimistic scenario - where the company's adjusted gross revenue (AGR) dues are slashed by 65 percent, tariffs consistently increase, and no near-term government repayments are required - Goldman still sees a best-case implied value per share of just Rs 19 Follow our live blog for all the market action Indus Towers' shares fell over 6 perent after Goldman downgraded the stock to 'Sell' from 'Neutral' rating, although it hiked the target price to Rs 350 from Rs 220. Goldman noted a disconnect between the company's fundamentals and its current valuations while also saying that the recent re-rating of Indus Towers is overdone. The firm sees limited visibility on medium- and long-term growth prospects. Goldman Sachs would adopt a more constructive stance only if Vodafone Idea, one of Indus's key clients, can successfully repair its balance sheet. Notably, Indus Towers' stock has surged over 75 percent in the past six months and is currently trading at Rs 443, which is 26 percent above Goldman Sachs' target price of Rs 350. Also Read |Â Govt won't interfere in Vodafone Idea's affairs, says telecom minister Scindia However, for Bharti Airtel, Goldman Sachs significantly raised its target price to Rs 1,700 from the previous Rs 900, indicating an upside of 10 percent from the stock's current market price. The firm has also maintained its 'Buy' rating. The global brokerage said thatÂ strong growth and a turning point in free cash flow (FCF) and returns profile, warrant the stock's premium valuation. Goldman believes Bharti Airtel's growth momentum will continue, driven by market share gains, organic growth levers, and potential future tariff hikes. The company's India revenue and EBITDA are expected to grow at 16 percent and 21 percent CAGR over FY24-27. Additionally, Goldman foresees Bharti Airtel achieving improvements in its balance sheet. The brokerage firm expects the company's net debt to approach zero by FY28. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","bharti airtel,indus towers,vodafone idea"
4,"Sebi News LIVE: More trouble for Madhabi Puri Buch, PAC likely to summon Sebi boss soon, says report",https://www.moneycontrol.com/news/business/business-news-live-updates-bazaar-style-ipo-listing-boss-packaging-ipo-september-6-liveblog-12815676.html,general,,,NA
5,"Nifty slips below 25,000, Sensex down over 750 pts ahead of US jobs data; banking stocks lead decline",https://www.moneycontrol.com/news/business/markets/sensex-nifty-fall-sharply-ahead-of-us-jobs-data-bank-stocks-decline-12815741.html,general,2024-09-06 10:53:00+05:30,"The Sensex and Nifty opened slightly lower on September 6 but fell sharply thereafter ahead of a crucial US jobs report that could determine the size and speed of the Federal Reserve's interest rate cuts later this month. Energy and banking stocks witnessed selling pressure in early trade while the Nifty IT index gainedÂ 0.8 percent. At 10.00 AM, the Sensex was down 561 points or 0.7 percent at 81,639. Nifty fell below its crucial support of 25,000 and was down 161 points or 0.6 percent at 24,983. About 1,286 shares advanced, 1,778 shares declined, and 119 shares remained unchanged. ""In the past couple of sessions, the markets have been consolidating within a range on the index front. Despite this, the broader markets, particularly small-cap and mid-cap indices, have continued to make new record highs, indicating strong stock-specific buying interest. In the short term, the market may experience time-wise consolidation rather than price-wise corrections,"" Ruchit Jain,Â Lead Research Analyst at 5paisa told Moneycontrol. Follow our live blog for all the market action Coming to sectoral performance, Nifty Private Bank, Nifty Bank, and Nifty PSU Bank declined 0.7-1.7 percent. SBI shares fell 2.5 percent and were the worst hit stock on Nifty 50. Coal India,Â ONGC, and UltraTech Cement were some of the other losers on Nifty 50. Nifty IT which has risen nearly a percentÂ in early trade, gave up its gains and fell 0.2 percent. LTIMindtree, however continued to top the Nifty 50 gainers lists, rising 1.5 percent, after Morgan Stanley upgraded the stock to 'overweight' and raised its target price to Rs 7,050 per share. Bajaj Finance, Britannia,Â Bajaj Finserv, and TCS were some of the other gainers on Nifty 50. The broader market also saw selling pressure with BSE Midcap and Smallcap indices falling 0.8 and 0.3 percent, respectively. The volatility index, India VIX, rose over 7 percent to 15.3. Also Read |Â Twelve IPOs will compete to raise over $1 billion next week Overnight, the US benchmark indices S&P 500 and Dow closed lower after the boost from a series of economic reports faded, with investors shifting their focus to key US jobs data due later in the day.Â Traders currently see a 59 percent chance of a quarter-point rate cut, according to CME's FedWatch tool. In Asia-Pacific, markets mostly declined in early trade as investors digested Japan's July household spending data which fell short of expectations and rose just 0.1 percent year-over-year. The weak spending figures may limit the Bank of Japan's options for raising interest rates. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","bajaj finance,ltimindtree,bajaj finserv,ultratech cement,coal india,bse,bajaj finance"
6,GST Council to discuss application of Section 11A amendment to resolve retrospective tax disputes,https://www.moneycontrol.com/news/business/economy/gst-council-to-discuss-application-of-section-11a-amendment-to-resolve-retrospective-tax-disputes-12815756.html,general,2024-09-06 09:47:00+05:30,"The Goods and Services Tax (GST) Council is set to meet in Delhi on September 9 to discuss the implementation of the newly introduced Section 11A in the Central Goods and Services Tax Act (CGST) of 2017. The meeting will focus on interpreting the amendment of the section in a bid to grant relief to demand for retrospective tax. It will have implications for the real-money gaming (RMG) â€” online games where players can wager and win real money â€” industry and other sectors, an official said. In its 53rd meeting held in June, the council had recommended the insertion of Section 11A toÂ  regularise non-levy or short-levy of GST. Section 11A seeks to provide a legal safeguard against punitive retrospective tax demand and potentially alleviate financial burdens on industries facing outstanding GST dues. An official told Moneycontrol, â€ś11A amendment has been passed. Corresponding circular is awaited and a discussion to this effect will be held in the next Council meeting on September 9. The circular will centre on how to apply and interpret the law pending approval from the council.â€ť Once implemented, it will reduce legal disputes as well. â€śThe GST Council is expected to exercise powers of Section 11A to reduce litigation woes,â€ť said Ankit Jain, Partner at Ved Jain & Associates.Â â€śWeâ€™re hopeful that the matter comes up for discussion and a clarification is issued,â€ť he added. Implications for RMG and other sectors The councilâ€™s decision may have major implications for the RMG sector, which has been grappling with significant GST retrospective tax demand pertaining to a period between July 1 , 2017 â€” the day GST was rolled out â€” and March 31, 2023. Last December, the finance ministry had said that 71 show cause notices were issued to online gaming companies for their alleged GST evasion worth over Rs 1.12 lakh crore. Businesses providing corporate guarantees are also hoping for clarity on past tax liabilities. â€śSection 11A represents a significant legal development in the GST framework. It offers a crucial safeguard against the punitive application of retrospective tax demand,â€ť SR Patnaik, Partner, Cyril Amarchand Mangaldas, told Moneycontrol. He emphasised that this provision could resolve disputes involving corporate guarantees, employee secondments, and reimbursements to information technology (IT) and airline companies. The council's decision could mark a significant step toward reducing litigation and promoting ease of doing business by regularising past trade practices and settling long-pending tax disputes across various sectors.
       ",NA
7,See More News,/news/,general,,,NA
8,"Stock Market LIVE Updates: Nifty at 24,900, Sensex crashes 810 pts; all sectors in the red",https://www.moneycontrol.com/news/business/markets/stock-market-live-sensex-nifty-50-share-price-gift-nifty-latest-updates-06-09-2024-liveblog-12815685.html,general,,,NA
9,"Tata Motors shares down for a sixth day, HSBC assigns 'Hold' with muted upside",https://www.moneycontrol.com/news/business/tata-motors-shares-hsbc-hold-muted-upside-12815740.html,general,2024-09-06 10:27:00+05:30,"Shares of Tata Motors slipped by overÂ a percent to Rs 1,054Â  in early trade on September 6, marking a sixth consecutive session of decline, as HSBC assigned a 'Hold' rating with a target price suggestingÂ muted upside. With a Rs 1,100 target, HSBC has forecast an upside potential of just 3 percent from the last closing price on the National Stock Exchange. Follow our LIVE blog for all the latest market updates While financial metrics of Jaguar Land Rover (JLR) are improving, HSBC said there is a disconnect between these metrics and brand perception, which needs to align for JLRâ€™s valuation to match that of Porsche. JLR's re-sale value trends remain weaker compared to Porsche, which may continue to weigh on Tata Motors' valuation too. India's largest automobile player Tata Motors' August sales fell 8 percent on year toÂ 71,693 units, with both commercial vehicles (CV) as well as passenger vehicles (PV) sales falling in August. Total CV sales dropped 15 percent toÂ 27,207 units in August, while PV sales fell by 3 percent on year toÂ 44,486 units. Also read:Â Brigade Enterprises raises Rs 1,500 cr through QIP: ICICI Pru, Goldman Sachs, Nippon, Kotak, Axis among investors Looking ahead, Motilal Oswal Financial Services anticipates a nearly 4 percent rise in Medium and Heavy Commercial Vehicles (M&HCV) volumes for FY25, equating to a residual growth rate of 4 percent or about 17,400 units per month. For Light Commercial Vehicles (LCVs), the brokerage expects volumes to remain largely flat, translating to a 5 percent residual growth or a monthly run rate of 19,300 units. Read more:Â Indiaâ€™s markets defy pressure from increased capital gains tax, could see another hike: Jefferies At about 9:20 am, shares of the company were trading at Rs 1,056, lower by 1 percent from the previous close. Tata Motors shares have rallied 35 percent since the start of the year. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ","tata motors,brigade enterprises,motilal oswal financial services"
