title,url,type,content,sentiment,date
Growth set to slow to 6.5-7% in FY25; Eco Survey asks corporates to pick the baton on job creation,https://www.moneycontrol.com/news/business/budget/growth-set-to-slow-6-5-7-in-fy25-survey-asks-corporates-to-pick-the-baton-on-job-creation-12774569.html,general,gross domestic product gdp likely grow 657 percent 202425 economic survey 20232024 projected july 22 signalling moderation pace expansion amid potential risks cheaper imports could affect private investment conservative prospects surveys flagging headwinds broader economy predicated possible slowing private investments note caution warranted private capital formation good growth last three years may turn slightly cautious fears cheaper imports countries excess capacity survey said survey maiden one authored chief economic adviser v anantha nageswaran however flagged challenges loomed immediate horizon obliquely advising government steadfastly stick path fiscal consolidation indulge extra borrowing fund nonmerit welfare handouts national income data released may 31 showed indias real inflationadjusted gdp grew 82 percent 202324 survey presented day ahead budget made strong case investment key driver sustain growth enable selfsustaining virtuous cyclefollow live blog latest economic survey 2024 sure government emphatically focused investmentled growth model interim budget 202425 presented february 1 finance minister nirmala sitharaman pencilled capital expenditure rs 111 lakh crore growth 111 percent 202324 focus capital expenditure relies principle higher public investment infrastructure projects unleashes economic growth multipliers grown 33 percent rs 75 lakh crore 202223 rs 10 lakh crore 202324 highways ports long gestation projects create jobs cascading benefits intermediate industries cement steel governments decision heavy lifting capital expenditure appears part wellcrafted mediumterm strategy accelerate pace infrastructure project execution also trigger cycle private sector investment economists sometimes describe crowding phenomenon survey exhorted private sector pick baton public sector sustain investment momentum economy public investment sustained capital formation last several years even private sector shed balance sheet blues began investing fy22 receive baton public sector sustain investment momentum economy said evidence suggests private sector investment subpar private sector gross fixed capital formation gfcf machinery equipment intellectual property products grown cumulatively 35 percent four years 202223 meanwhile gfcf dwellings buildings structures increased 105 healthy mix besides slow pace investment machinery equipment ip products delay indias quest raise manufacturing share gdp delay improvement indias manufacturing competitiveness create smaller number higherquality formal jobs otherwise said also read indian gccs employed 16 lakh people fy23 shows economic survey letting goease business survey obliquely championed cause mix philosophy economic merits government withdraw areas business perhaps signal privatisation easier rules compliances procedures businesses prosper letting go part good governancethe burden felt acutely least equipped bear small medium enterprises holds back leashes aspirations process holds country back said quoting isha upanishad cea signed foreword rather upfront lesser government authoritarian interference power prized possession governments let go least enjoy lightness creates governed governing jobs creating jobs millions years end armies youth join queue hopefuls every year remains central longterm policy challenge india productive job powerful form inclusion according survey key ingredients strategy include focus policies nourish micro small medium enterprises msmes create jobs become productive reduce cost capital rationalise riskreturn tradeoff investments survey squarely placed responsibility creating jobs private sector asked profitable companies add capacities hire enlightened selfinterest indian corporate sector swimming excess profits take responsibility create jobs seriously course must find people right attitude skills requires another tripartite compact government private sector academia said could require appropriate policy intervention government unshackle industry academic institutions play respective roles mammoth task cited example apprenticeship act remains work progress best encouraging largescale apprenticeships country new education policy 2020 proposes freeing indias higher education regulatory oversight market oversight corporate sector helps shape design higher education inputs curriculum evaluation standards faculty pave way highquality higher education market competition brings replacing regulatory oversight said also read india needs add 79 mn jobs annually till 2030 says economic survey 202324 farm reforms survey made telling observations indias farm sector long tale market distortions successive efforts dismantle barriers often ran political resistance scuttling policy attempts shifting terms favour farmers getting rid unscrupulous middlemen vested interests distorted markets core fear among farmers lose bargaining power large corporations private traders enter unregulated agriculture produce markets panoply policies national subnational governments working crosspurposes hurting farmers intereststhe payoff immense untie knots bedevil farm sector policies survey said advocated return roots terms farming practices policymaking generate higher value addition agriculture boost farmers income create opportunities food processing exports make farm sector fashionable productive indias urban youth small beautiful survey made powerful argument turning indias micro small medium enterprises msmes growth engines ironing rough policy institutional edges enterprises need maximum relief compliance burdens face laws rules regulations stretch finances abilities bandwidth perhaps robbing grow said estimated 60 million msmes form lifeblood indias organised economy contributing 45 percent countrys gdp employing 110 million people,POSITIVE,2024-07-22
"Eco Survey: CEA flags geopolitics, rise of AI as key challenges for 'Viksit Bharat' and urges India Inc to step up",https://www.moneycontrol.com/news/business/budget/cea-flags-geopolitics-rise-of-ai-as-key-challenges-for-vikshit-bharat-and-urges-india-inc-to-step-up-12774544.html,general,second economic survey v anantha nageswaran presents sobering view indian economy talks emerging geo political concerns skilling challenges urges india inc step economic survey 202324 authored chief economic advisor v anantha nageswaran second one made definitive statement indian economy presenting growth outlook 657 percent survey iterated challenges face india today far different time chinas rise 1980 2015 highlighting economic shocks nageswaran stated bad debts indian banking system high corporate indebtedness one challenges followed pandemic highlighting changed economic environment survey states india today faces challenges geo politics concerns climate change global warming addition advent artificial intelligence casts huge pall uncertainty impact workers across skill levels low semi high create barriers hurdles sustained high growth rates india coming years decades step message private sector employment cea states categorically one respect action lies private sector terms financial performance corporate sector never good results 33000 companies show three years fy 20 fy 23 profit taxes indian corporate sector quadrupledhiring compensation growth hardly kept interest companies step hiring worker compensation union government cut taxes september 2019 facilitate capital formation cea asks corporate sector responded fy 19 fy 23 cumulative growth private sector nonfinancial gross fixed capital formation 52 percent current prices period cumulative growth general government includes states 64 percent gap appear wide survey states breaking data different picture emerges private sector gfcf machinery equipment intellectual property products grown cumulatively 35 percent four years fy 23 gfcf dwellings buildings structures increased 105 percentthis healthy mix says cea slow pace investment ip products delay indias quest raise manufacturing share gdp delay improvement indias manufacturing competitiveness create smaller number higherquality formal jobs,NEGATIVE,2024-07-22
Speculative trading has no place in a developing country like India: Economic Survey,https://www.moneycontrol.com/news/business/markets/f-investors-may-face-serious-losses-warns-economic-survey-12774645.html,general,economic survey come heavily rising futures options stock market retail investors using harshest words yet government agency going far say speculative trading place developing country india importantly warned potential fall stock markets could make investors feel cheated deter returning capital markets long time could detrimental entire economy survey noted derivatives trading potential outsized gains often appeals human instinct gambling allure augmenting income dynamic driven significant retail participation derivatives trading however reality derivatives trading starkly different promise globally derivatives trading loses money investors part survey states allure quick profits misleading majority participants derivatives markets end facing losses underscores importance raising investor awareness continuous financial education survey emphasizes raising investor awareness continuous financial education essential warn low negative expected returns derivatives trading also read fo crackdown panel suggests sweeping curbs options contracts lot sizes risks associated derivatives trading merely theoretical significant stock market correction lead substantial losses particularly retail investors engaged derivatives losses could provoke strong negative behavioral response investors feeling cheated unseen considerable forces economic survey warns experiences could deter retail investors returning capital markets long time would detrimental financial wellbeing broader economy economic survey also provides broader context understanding potential pitfalls rapid financialisation points historical precedents noting financialisation economies ended well even advanced economies global financial crisis 2008 obvious example developing countries risks even pronounced survey cites asian financial crisis 199798 severely impacted highflying economies region examples illustrate dangers financial market innovations growth outpace economic growth also read fo frenzy equities turning stampede warns vijay kedia india survey advocates cautious approach india needs orderly gradual evolution financial market approach essential avoid destabilizing effects plagued economies survey calls stakeholders including market participants market infrastructure institutions regulators government ensure capital markets fulfill fundamental role directing savings productive investments matter national interest also selfinterest survey concludes stakeholders must ensure capital markets play theoretically assigned role directing savings productive investments national interest act selfinterest earlier month moneycontrol reported sebi working committee fo proposed measures curb rapid growth derivatives volume include increasing minimum lot size derivative contracts rs 20 lakhrs 30 lakh current rs 5 lakh restricting weekly options one expiry per stock exchange per week limiting number strike prices options contracts last week sebi chairperson buch said worry regulator micro level fo trading putting investors risk also macro level disrupting economic growth buch said turnover index options premium terms gone rs 45 lakh crore 2018 rs 140 lakh crore 2024 overall turnover derivatives segment gone rs 210 lakh crore 2018 rs 500 lakh crore 2024,NEGATIVE,2024-07-22
Fertiliser stocks surge up to 13% a day before Budget on hopes of rural focus,https://www.moneycontrol.com/news/business/markets/fertiliser-surge-subsidy-union-budget-12774354.html,general,fertiliser stocks buzzing trade surging much 13 percent runup union budget 2024 due tabled finance minister nirmala sitharaman july 23 spike fertiliser stocks came investors speculate quantum subsidy could allotted sector upcoming budget interim budget estimated fertiliser subsidy requirement fy25 rs 164 lakh crore lower rs 189 lakh crore fy24 street anticipating increase subsidy bill industry participants expecting finance minister may retain previously estimated subsidy allocation budgeted amount considered adequate fy25 due moderation input costs prices finished products reduced subsidy bill compared fy24 enable government allocate funds productive areas axis securities wrote note brokerage expects government increase funding towards reducing dependence fertiliser imports developing new capabilities nano urea follow live blog updates experts anticipating greater emphasis boosting rural consumption primarily higher spending governments flagship programmes rebound rural consumption benefit fertiliser companies would likely lead increased spending farmers crop protection riding high expectations shares deepak fertilisers chambal fertilisers chemicals national fertilizers gujarat state fertilizers fertilisers chemicals travancore fact coromandel international trading 313 percent nse fertiliser companies faced disappointing earnings fy24 due weak prices subdued demand influx lowcost chinese supplies global market led significant decline profitability straining net profit revenue major players however signs recovery emerged recent quarters expectations resurgence demand latter half current fiscal coinciding sowing rabi crop backdrop fertilizer industry relying hopes governments support stage strong rebound later fiscal disclaimer views investment tips expressed investment experts moneycontrolcom website management moneycontrolcom advises users check certified experts taking investment decisions,NEGATIVE,2024-07-22
Wipro stock tanks 8% as weak Q1 earnings disappoint Street,https://www.moneycontrol.com/news/business/earnings/wipro-stock-tanks-8-as-weak-q1-earnings-disappoint-street-12774171.html,general,wipro shares fell much 8 percent july 22 company delivered weak q1 fy25 performance 1 percent quarteronquarter qoq decline consolidated revenue particularly concerning compared competitors tcs infosys reported 23 percent qoq growth wipros q1 fy25 revenue guidance q2 fy25 fell expectations citi research said q2 guidance likely disappoint investors higher expectations also read wipro adr falls 10 q1 revenue misses estimates companys consolidated revenue declined 11 percent quarter rs 219638 crore falling short moneycontrols forecast rs 22229 crore bengalurubased wipro also revised revenue guidance q2 fy25 suggesting potential sequential decline 1 percent slight growth 1 percent constant currency terms nomura buy call wipro target price rs 600 citi sell call rs 495 target price follow live blog market action however brokerages noted early recovery discretionary demand could potentially boost wipros future performance nuvama said wipro long way go order reach industry average growth brokerage expects wipro continue underperforming peers also notes low valuation high dividend yield help mitigate downside risk nuvama maintained hold rating wipro brokerage increased target price stock rs 530 rs 460 bfsi segment continued grow consumer business also picked disclaimer views investment tips expressed investment experts moneycontrolcom website management moneycontrolcom advises users check certified experts taking investment decisions,NEGATIVE,2024-07-22
IDBI Bank stock rises 3% after 40% jump in Q1 net profit,https://www.moneycontrol.com/news/business/earnings/idbi-bank-stock-rises-3-after-40-jump-in-q1-net-profit-12774641.html,general,shares idbi bank surged 3 percent lender july 22 reported 40 percent rise net profit first quarter fy25 company posted profit rs 171927 higher 404 percent compared rs 122418 reported period last financial year according exchange filing issued monday net profit also surged 6 percent march quarters reading rs 162846 crore stock price company trading rs 9129 273 percent nse 1402 pm lenders gross nonperforming assets gnpa improved 118 bps yoy 387 percent net npa stood 023 percent recording drop 21 bps according company statement banks provision coverage ratio 9934 percent crar came 2242 percent casa ratio 4857 percent net interest margin nim 418 percent,NEGATIVE,2024-07-22
Economic Survey 2023-24: Here are the key highlights,https://www.moneycontrol.com/news/business/economy/economic-survey-2023-24-here-are-the-key-highlights-12774621.html,general,budget session parliament commenced today july 22 union finance minister nirmala sitharaman presented economic survey india 202324 along statistical appendix houses parliament scheduled present union budget 202425 lok sabha july 23 marks first budget modi governments third consecutive term office key highlights economic survey 202324 follow live blog latest economic survey 2024global growth 32 2023 impacted domestic issues geopolitical conflicts monetary tighteningindias performance real gdp grew 82 fy24 maintaining strong momentum despite global challengescapital formation rs 109 lakh crore raised fy24 covering 29 capital formationsector transformation financial sector evolving potential vulnerabilities need agile policy interventionsinflation trends core inflation fell fy24 retail inflation driven rbi projects 45 inflation fy25global pressures inflation affected pandemic geopolitical tensions supply disruptionstrade balance merchandise imports moderated services exports rose 49 3411 billiondebt sustainability external debt 187 gdp improved logistics performancegrowth strategy focus private investment msme growth agriculture green transition financing educationemployment gap state capacitysustained growth potential 7 growth continued structural reforms collaboration government private sectorrenewable energy nonfossil sources constitute 454 installed capacitygreen bonds rs 36000 crore raised 2023 emission reduction projectswelfare reforms ayushman bharat scheme generated 347 crore cards covered 737 crore hospital admissions saving 125 lakh crore outofpocket expenseslabor market unemployment rate 32 epfo net payroll additions doubled five yearssector growth livestock sector grew 738 cagr fisheries sector 89 cagrtech adoption digital agriculture mission enam smart agriculture technologiesindustrial growth 95 growth fy24 significant improvements manufacturing construction miningcoal production record 9972 million tonnes produced reducing import dependence,POSITIVE,2024-07-22
Focusing on FDI from China a better way to boost India's exports to US: Economic Survey 2024,https://www.moneycontrol.com/technology/focusing-on-fdi-from-china-a-better-way-to-boost-indias-exports-to-us-article-12774640.html,general,opting foreign direct investment fdi strategy leverage china plus one approach beneficial depending solely trade due china indias leading import partner increasing trade deficit china us europe move immediate sourcing away china effective chinese companies invest india export products markets directly approach preferable importing china adding minimal value reexporting economic survey 20232024 tabled july 22 said countries mexico vietnam taiwan korea direct beneficiaries uss trade diversion china even nations increased share exports us also displayed concomitant rise chinese fdi therefore world completely look past china even pursues china plus one india faces two choices benefit china plus one strategy integrate chinas supply chain promote fdi china among choices focusing fdi china seems promising boosting indias exports us similar east asian economies past survey added follow live blog latest economic survey 2024 significant shift global manufacturing last five years major multinational companies including apple want reduce reliance china traditionally known worlds factory due disruptions caused covid19 growing tensions us china rising costs business china result several companies adopted china plus one strategy reduce risk exposure china survey highlighted study boston consulting group revealed 90 percent manufacturers north america moved production countries like mexico thailand vietnam suggesting move away china survey said indias appeal lies large domestic consumer market makes attractive companies set operations electronics sector focus smartphone manufacturing assembly governments pli scheme including tax breaks subsidies significantly attracts companies rise indias domestic smartphone demand also key factor companies investing decisions also read economic survey pegs fy25 gdp growth 657 instance apple assembled 14 billion worth iphones india fy24 constituting 14 percent global iphone production foxconn started production apple mobile phones karnataka tamil naduwhile india may immediate beneficiary trade diversion china witnessed substantial increase electronic exports time implementing pli scheme key driver growth indias electronic exports us transitioned trade deficit 06 billion fy17 trade surplus 87 billion fy24 underscoring significant increase value addition within electronics sector category experienced growth mobile phones exports us rising 22 billion fy23 57 billion fy24 india looks deepen involvement global value chains gvcs look successes strategies east asian economies economies typically pursued two main strategies reducing trade costs facilitating foreign investment per survey given gvcs designed minimise costs countries like malaysia vietnam taiwan focused lowering trade costs time india improving logistical efficiency key focus second strategy focused investment facilitation includes actions increase stabilise foreign investment pli scheme example encourages highquality foreign investment offering marketlinked incentive system companies comply medium term india focusing integrating value chain west particularly sectors like renewable energy advanced technology including artificial intelligence semiconductors nextgeneration telecommunications survey said,POSITIVE,2024-07-22
"Hiring in IT sector unlikely to pick up significantly, says Economic Survey",https://www.moneycontrol.com/technology/hiring-in-it-sector-unlikely-to-pick-up-significantly-says-economic-survey-article-12774560.html,general,economic survey financial year 202324 tabled july 22 parliament said hiring information technology sector slowed considerably last financial year even hiring decline unlikely pick significantly comment sector survey comes time headcount biggest companies declined first time decades february tech industry body nasscom said sector create 60000 new jobs fy24 pales comparison 270000 jobs sector created previous fiscal year nonetheless additions fy24 would take total 543 million employees services export sector however leveraging initiatives taken government capturing untapped potential emerging markets exports business consultancy itenabled services expand survey read document says business services likely retain prominent international presence medium term however studies suggest application artificial intelligence ai likely restrain growth opportunities business services progressively therefore poses challenge longterm sustainability job creation document read said itenabled services instrumental maintaining countrys external balance export earnings set increase flourishing growth services also supported expansion global capability centres gccs tech startup ecosystem india document read also read revenue erd gccs grows 30 25 billion gccs india,NEGATIVE,2024-07-22
"In a big blow to Nitish Kumar's JDU, Centre denies special status for Bihar",https://www.moneycontrol.com/news/india/in-a-big-blow-to-nitish-kumars-jdu-centre-denies-special-status-for-bihar-12774799.html,general,centre monday denied special category status bihar minister state finance pankaj chaudhary said special category status plan assistance granted past national development council ndc states characterised number features necessitating special consideration ramprit mandal jdu mp bihars jhanjharpur asked finance ministry government plan provide special status bihar decision made based integrated consideration factors peculiar situation state earlier request bihar special category status considered interministerial group img submitted report march 30 2012 img came finding based existing ndc criteria case special category status bihar made chaudhary told lok sabha ongoing monsoon session parliament meanwhile lalu prasad yadavs rashtriya janata dal rjdtook potshot jdu bihar ko nahin milega vishesh rajya ka darja bihar get special state status tweet rjd read nitish kumar jdu comfortably enjoy power centre continue hypocritical politics special state status rjd posted xबहर क नह मलग वशष रजय क दरज ससद म मद सरकर नतश कमर और jdu वल अब आरम स कदर म सतत क रससवदन करत हए वशष रजय क दरज पर ढग क रजनत करत रह pictwittercomlpd8oikeda rashtriya janata dal rjdforindia july 22 2024 nitish kumarled jdu key constituent national democratic alliance recently passed resolution demanding special category status state special status ensures central support backward state expedite growth constitution provide special status state introduced recommendations fifth finance commission 1969 among states received special status far jammu kashmir union territory noreastern states hill states himachal pradesh uttarakhand allparty meeting demand special category status bihar came ruling national democratic alliance well india opposition bloc bjp allies sanjay kumar jha janata dal united union minister chirag paswan lok janshakti party ram vilas also supported demand rashtriya janata dal rjd also joined chorus,NEGATIVE,2024-07-22
