title,url,type,content,sentiment,date
Growth set to slow to 6.5-7% in FY25; Eco Survey asks corporates to pick the baton on job creation,https://www.moneycontrol.com/news/business/budget/growth-set-to-slow-6-5-7-in-fy25-survey-asks-corporates-to-pick-the-baton-on-job-creation-12774569.html,general,"Gross domestic product (GDP) will likely grow at 6.5–7 percent in 2024-25, the Economic Survey 2023-2024 projected on July 22, signalling a moderation in the pace of expansion amid potential risks from cheaper imports that could affect private investment. The conservative prospects and the Survey’s flagging of headwinds in the broader economy were predicated on a possible slowing down of private investments. “A note of caution is warranted here. Private capital formation after good growth in the last three years may turn slightly more cautious because of fears of cheaper imports from countries that have excess capacity,” the Survey said. The Survey, the maiden one authored by Chief Economic Adviser V. Anantha Nageswaran, however, flagged some challenges that loomed on the immediate horizon, obliquely advising the government to steadfastly stick to the path of fiscal consolidation and not indulge in extra borrowing to fund non-merit welfare handouts. National income data released on May 31 showed India’s real or inflation-adjusted GDP grew 8.2 percent in 2023-24. The Survey, presented a day ahead of the Budget, made a strong case for investment as a key driver to sustain growth and enable a self-sustaining virtuous cycle.Follow our live blog for the latest on the Economic Survey 2024 To be sure, the government has been emphatically focused on the investment-led growth model. In the Interim Budget for 2024-25, which was presented on February 1, finance minister Nirmala Sitharaman pencilled in capital expenditure of Rs 11.1 lakh crore, a growth of 11.1 percent over 2023-24. The focus on capital expenditure relies on the principle that higher public investment in infrastructure projects unleashes economic growth through multipliers. This has grown 33 percent from Rs 7.5 lakh crore in 2022-23 to Rs 10 lakh crore in 2023-24. Highways and ports are long gestation projects, but they can create jobs, with cascading benefits for intermediate industries such as cement and steel. The government’s decision to do the heavy lifting on capital expenditure appears to be a part of the well-crafted medium-term strategy to not just accelerate the pace of infrastructure project execution but also to trigger a cycle of private sector investment, or what economists sometimes describe as the “crowding in” phenomenon. The Survey exhorted the private sector to pick the “baton” from the public sector and sustain the investment momentum in the economy. “Public investment has sustained capital formation in the last several years even as the private sector shed its balance sheet blues and began investing in FY22. Now, it has to receive the baton from the public sector and sustain the investment momentum in the economy,” it said. The evidence suggests that private sector investment has been sub-par. Private sector gross fixed capital formation (GFCF) in machinery and equipment and intellectual property products has grown cumulatively by only 35 percent in the four years to 2022-23. Meanwhile, its GFCF in ‘dwellings, other buildings and structures’ has increased by 105%. This is not a healthy mix. Besides, the slow pace of investment in machinery and equipment and IP products will delay India’s quest to raise the manufacturing share of GDP, delay the improvement in India’s manufacturing competitiveness, and create only a smaller number of higher-quality formal jobs than otherwise, it said. Also read: Indian GCCs employed over 16 lakh people in FY23, shows Economic Survey Letting go-ease of business The Survey obliquely championed the cause, in a mix of philosophy and economic merits, for the government to withdraw from a few areas of business, perhaps as a signal for more privatisation and easier rules, compliances, and procedures for businesses to prosper. “Letting go is part of good governance…The burden is felt more acutely by those least equipped to bear it – small and medium enterprises. It holds them back, leashes their aspirations, and, in the process, holds the country back,” it said. Quoting Isha Upanishad, the CEA, in his signed foreword, was rather upfront for lesser government and authoritarian interference. “Power is a prized possession of governments. They can let go of at least some of it and enjoy the lightness it creates in both the governed and the governing.” Jobs and more Creating jobs by the millions for years on end for the armies of youth who join the queue of hopefuls every year remains a central long-term policy challenge in India. A productive job is the most powerful form of inclusion. According to the Survey the key ingredients for this strategy include a focus on policies that nourish micro, small and medium enterprises (MSMEs) to create more jobs and become more productive, reduce the cost of capital, and rationalise the risk-return trade-off for investments. The Survey squarely placed the responsibility of creating jobs with the private sector and asked profitable companies to add capacities and hire more. “It is in the enlightened self-interest of the Indian corporate sector, swimming in excess profits, to take its responsibility to create jobs seriously. Of course, it must find people with the right attitude and skills. That requires another tripartite compact - between the government, the private sector and academia,” it said. This could require appropriate policy intervention from the government to “unshackle the industry and academic institutions to play their respective roles in that mammoth task”. It cited the example of the Apprenticeship Act, which remains a work in progress, at best, in encouraging large-scale apprenticeships in the country. The New Education Policy 2020 proposes freeing India’s higher education from regulatory oversight to market oversight. “A corporate sector that helps shape the design of higher education with inputs to curriculum, evaluation standards, and faculty will pave the way for a high-quality higher education that market competition brings, replacing regulatory oversight,” it said. Also read: India needs to add 7.9 mn jobs annually till 2030, says Economic Survey 2023-24 Farm reforms The Survey made some telling observations about India’s farm sector, which, for too long, has been a tale of market distortions. Successive efforts to dismantle barriers often ran into political resistance, scuttling policy attempts at shifting the terms in favour of farmers by getting rid of unscrupulous middlemen and vested interests that distorted markets. At the core of this is the fear among farmers that they will lose their bargaining power if large corporations and private traders can enter unregulated agriculture produce markets. “A panoply of policies – by national and sub-national governments - working at cross-purposes with each other is hurting farmers’ interests…The payoff will be immense if we untie the knots that bedevil farm sector policies,” the Survey said. It advocated a “return to roots” in terms of farming practices and policymaking, which can generate higher value addition from agriculture, boost farmers’ income, create opportunities for food processing and exports and make the farm sector both “fashionable and productive for India’s urban youth”. Small is beautiful The Survey made a powerful argument for turning India’s micro, small and medium enterprises (MSMEs) into growth engines by ironing out a few rough policy and institutional edges. “These enterprises need maximum relief from the compliance burdens they face. Laws, rules and regulations stretch their finances, abilities and bandwidth, perhaps robbing them of the will to grow,” it said. The estimated 60 million MSMEs form the lifeblood of India’s organised economy, contributing about 45 percent of the country’s GDP and employing about 110 million people.
       ",POSITIVE,2024-07-22
"Eco Survey: CEA flags geopolitics, rise of AI as key challenges for 'Viksit Bharat' and urges India Inc to step up",https://www.moneycontrol.com/news/business/budget/cea-flags-geopolitics-rise-of-ai-as-key-challenges-for-vikshit-bharat-and-urges-india-inc-to-step-up-12774544.html,general,"The second economic survey by V. Anantha Nageswaran presents a sobering view of the Indian economy, talks about emerging geo political concerns, skilling challenges and urges India Inc to step up. Economic Survey 2023-24, authored by the Chief Economic Advisor, V. Anantha Nageswaran, his second one  made a definitive statement on the Indian economy, while presenting a growth  outlook of 6.5-7 percent , the survey iterated the challenges that face India today are far different from the time of China’s rise between 1980 and 2015. Highlighting the economic shocks, Nageswaran stated that bad debts in the Indian banking system and high corporate indebtedness were one of the challenges, followed by the pandemic. Highlighting a changed economic environment, the survey states that India today faces challenges from geo politics , concerns over climate change and global warming. In addition to that, “the advent of Artificial Intelligence casts a huge pall of uncertainty as to its impact on workers across all skill levels -low, semi and high. These will create barriers and hurdles to sustained high growth rates for India in the coming years and decades.” STEP UP! MESSAGE TO THE PRIVATE SECTOR On employment, the CEA states it categorically that “ in more than one respect, the action lies with the private sector. In terms of financial performance, the corporate sector has never had it so good. The results of over 33,000 companies show that , in the three years between FY 20 and FY 23, the profit before taxes of the Indian corporate sector quadrupled…hiring and compensation growth hardly kept up with it… it is in the interest of the companies to step up hiring and worker compensation. The Union Government cut taxes in September 2019 to facilitate capital formation -the CEA asks if the corporate sector has responded? Between FY 19 and FY 23, the cumulative growth in private sector non-financial Gross Fixed Capital Formation is 52 percent in current prices, during the same period, the cumulative growth in general government (which includes states) is 64 percent. “The gap does not appear to be too wide” but, the survey states, that on breaking down the data a different picture emerges. Private Sector GFCF in machinery and equipment  and intellectual property products has grown cumulatively by only 35 percent in four years to FY 23, while GFCF in ‘Dwellings, other buildings and structures ‘ has increased by 105 percent-“this is not a healthy mix,” says the CEA. Slow pace of investment in M&E and IP Products  will delay India’s quest to raise the manufacturing share of GDP , delay the improvement in India’s manufacturing competitiveness and create only a smaller number of higher-quality formal jobs.
       ",NEGATIVE,2024-07-22
Speculative trading has no place in a developing country like India: Economic Survey,https://www.moneycontrol.com/news/business/markets/f-investors-may-face-serious-losses-warns-economic-survey-12774645.html,general,"The Economic Survey has come down heavily on rising futures & options in the stock market by retail investors, using harshest words yet by a government agency, going as far to say that such speculative trading has “no place in a developing country” such as India. More importantly, it has warned the that any potential fall in stock markets could make investors feel cheated and deter them from returning to capital markets for a long time which could be detrimental to the entire economy. The Survey noted that derivatives trading, with its potential for outsized gains, often appeals to the human instinct for gambling and the allure of augmenting income. This dynamic has driven significant retail participation in derivatives trading. However, the reality of derivatives trading is starkly different from its promise. ""Globally, derivatives trading loses money for investors, for the most part,"" the survey states. The allure of quick profits can be misleading, as the majority of participants in derivatives markets end up facing losses. This underscores the importance of raising investor awareness and continuous financial education. The survey emphasizes, ""Raising investor awareness and continuous financial education is essential to warn them of the low or negative expected returns from derivatives trading."" Also read | F&O crackdown: Panel suggests sweeping curbs on options contracts, lot sizes The risks associated with derivatives trading are not merely theoretical. A significant stock market correction can lead to substantial losses, particularly for retail investors engaged in derivatives. These losses could provoke a strong negative behavioral response, with investors feeling ""cheated by unseen more considerable forces."" The Economic Survey warns that such experiences could deter retail investors from returning to capital markets for a long time, which would be detrimental to both their financial well-being and the broader economy. The Economic Survey also provides a broader context for understanding the potential pitfalls of rapid financialisation. It points to historical precedents, noting, ""The financialisation of economies has not ended well, even for advanced economies. The global financial crisis of 2008 is an obvious example."" For developing countries, the risks are even more pronounced. The survey cites the Asian financial crisis of 1997-98, which severely impacted the high-flying economies of the region. These examples illustrate the dangers when financial market innovations and growth outpace economic growth. Also read | F&O frenzy in equities now turning into a stampede, warns Vijay Kedia For India, the survey advocates for a cautious approach: ""India needs to have an orderly and gradual evolution of the financial market."" Such an approach is essential to avoid the destabilizing effects that have plagued other economies. The survey calls on all stakeholders, including market participants, market infrastructure institutions, regulators, and the government, to ensure that capital markets fulfill their fundamental role of directing savings to productive investments. This is not only a matter of national interest but also of self-interest. The survey concludes, ""All stakeholders must ensure that capital markets play their theoretically assigned role of directing savings to their most productive investments. It is not just in the national interest. It is an act of self-interest, too."" Earlier this month, Moneycontrol reported that a SEBI working committee on F&O has proposed measures to curb the rapid growth in derivatives volume. These include increasing the minimum lot size of derivative contracts to Rs 20 lakh-Rs 30 lakh from the current Rs 5 lakh, restricting weekly options to one expiry per stock exchange per week, and limiting the number of strike prices for options contracts. Last week, SEBI chairperson Buch said that the worry for the regulator is now not just from a “micro level” of the F&O trading putting investors at risk, but also from a “macro level” of it disrupting economic growth. Buch said that turnover in index options in premium terms has gone up from Rs 4.5 lakh crore in 2018 to Rs 140 lakh crore in 2024. While overall turnover in the derivatives segment has gone up from Rs 210 lakh crore in 2018 to Rs 500 lakh crore in 2024.
       ",NEGATIVE,2024-07-22
Fertiliser stocks surge up to 13% a day before Budget on hopes of rural focus,https://www.moneycontrol.com/news/business/markets/fertiliser-surge-subsidy-union-budget-12774354.html,general,"Fertiliser stocks were buzzing in trade, surging as much as 13 percent, in the run-up to the Union Budget 2024 due to be tabled by Finance Minister Nirmala Sitharaman on July 23. The spike in fertiliser stocks came as investors speculate the quantum of subsidy that could be allotted to the sector in the upcoming budget. The interim budget had estimated the fertiliser subsidy requirement for FY25 at Rs 1.64 lakh crore, which is lower than Rs 1.89 lakh crore for FY24. While the Street is not anticipating an increase in the subsidy bill, industry participants are expecting the finance minister may retain the previously estimated subsidy allocation. ""While the budgeted amount is considered to be adequate for FY25 due to moderation in input costs and prices of finished products, the reduced subsidy bill (as compared to FY24) will enable the government to allocate funds to more productive areas,"" Axis Securities wrote in a note. Brokerage expects the government to increase funding towards reducing dependence on fertiliser imports and developing new capabilities such as nano urea. Follow our live blog for all the updates Experts are anticipating greater emphasis on boosting rural consumption, primarily through higher spending on government’s flagship programmes. A rebound in rural consumption should benefit fertiliser companies, as it would likely lead to increased spending by farmers on crop protection. Riding high on these expectations, shares of Deepak Fertilisers, Chambal Fertilisers and Chemicals, National Fertilizers, Gujarat State Fertilizers, Fertilisers and Chemicals Travancore (FACT),  and Coromandel International were trading 3-13 percent on the NSE. Fertiliser companies faced disappointing earnings in FY24 due to weak prices, subdued demand, and an influx of low-cost Chinese supplies into the global market. This led to a significant decline in profitability, straining both net profit and revenue of major players. However, signs of recovery have emerged in recent quarters, with expectations of a resurgence in demand in the latter half of the current fiscal, coinciding with the sowing of Rabi crop. In this backdrop, the fertilizer industry is relying on hopes of the government's support to stage a strong rebound later this fiscal. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ",NEGATIVE,2024-07-22
Wipro stock tanks 8% as weak Q1 earnings disappoint Street,https://www.moneycontrol.com/news/business/earnings/wipro-stock-tanks-8-as-weak-q1-earnings-disappoint-street-12774171.html,general,"Wipro shares fell as much as 8 percent on July 22 after the company delivered a weak Q1 FY25 performance, with a 1 percent quarter-on-quarter (QoQ) decline in its consolidated revenue. This is particularly concerning when compared to its competitors, TCS and Infosys, which reported 2-3 percent QoQ growth. Wipro's Q1 FY25 revenue and guidance for Q2 FY25 fell below expectations. Citi Research said that the Q2 guidance is likely to disappoint investors who had higher expectations. Also Read | Wipro ADR falls over 10% after Q1 revenue misses estimates The company's consolidated revenue declined by 1.1 percent on quarter to Rs 21,963.8 crore, falling short of Moneycontrol's forecast of Rs 22,229 crore. Bengaluru-based Wipro also revised its revenue guidance for the Q2 FY25, suggesting a potential sequential decline of 1 percent or a slight growth of up to 1 percent (in constant currency terms). Nomura had a 'Buy' call on Wipro with a target price of Rs 600 and Citi had a 'Sell' call with Rs 495 as the target price. Follow our live blog for all the market action However, brokerages noted that the early recovery in discretionary demand could potentially boost Wipro's future performance. Nuvama said that Wipro has a long way to go in order to reach industry average growth. While the brokerage expects Wipro to continue underperforming its peers, it also notes that its low valuation and high dividend yield help mitigate downside risk. Nuvama has maintained its 'Hold' rating on Wipro. The brokerage increased the target price for the stock to Rs 530 Rs 460 as the BFSI segment continued to grow and consumer business also picked up. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ",NEGATIVE,2024-07-22
IDBI Bank stock rises 3% after 40% jump in Q1 net profit,https://www.moneycontrol.com/news/business/earnings/idbi-bank-stock-rises-3-after-40-jump-in-q1-net-profit-12774641.html,general,"Shares of IDBI Bank surged 3 percent after the lender on July 22 reported a 40 percent rise in net profit during the first quarter of FY25. The company posted a profit of Rs 1,719.27, higher by 40.4 percent compared to Rs 1,224.18 reported in the same period of last financial year, according to an exchange filing issued of Monday. The net profit also surged 6 percent over the March quarter's reading at Rs 1,628.46 crore. The stock price of the company was trading at Rs 91.29, up 2.73 percent on NSE at 14:02 pm. The lender's gross non-performing assets (GNPA) improved 118 bps YoY to 3.87 percent, while the net NPA stood at 0.23 percent, recording a drop of 21 bps, according to the company statement. The bank's provision coverage ratio was at at 99.34 percent, while the CRAR came in at 22.42 percent. It's CASA ratio was at 48.57 percent and the net interest margin (NIM) was at 4.18 percent.  
       ",NEGATIVE,2024-07-22
Economic Survey 2023-24: Here are the key highlights,https://www.moneycontrol.com/news/business/economy/economic-survey-2023-24-here-are-the-key-highlights-12774621.html,general,"The Budget Session of Parliament has commenced today. On July 22, Union Finance Minister Nirmala Sitharaman presented the Economic Survey of India 2023-24, along with a statistical appendix, in both Houses of Parliament. She is scheduled to present the Union Budget for 2024-25 in the Lok Sabha on July 23. This marks the first Budget of the Modi Government's third consecutive term in office. Here are the key highlights of the Economic Survey 2023-24. Follow our live blog for the latest on the Economic Survey 2024Global Growth: 3.2% in 2023, impacted by domestic issues, geopolitical conflicts, and monetary tightening.India's Performance: Real GDP grew by 8.2% in FY24, maintaining strong momentum despite global challenges.Capital Formation: Rs 10.9 lakh crore raised in FY24, covering 29% of capital formation.Sector Transformation: Financial sector evolving with potential vulnerabilities; need for agile policy interventions.Inflation Trends: Core inflation fell in FY24, with retail inflation driven down. RBI projects 4.5% inflation in FY25.Global Pressures: Inflation affected by pandemic, geopolitical tensions, and supply disruptions.Trade Balance: Merchandise imports moderated; services exports rose by 4.9% to $ 341.1 billion.Debt Sustainability: External debt at 18.7% of GDP, with improved logistics performance.Growth Strategy: Focus on private investment, MSME growth, agriculture, green transition financing, education-employment gap, and state capacity.Sustained Growth: Potential for 7%+ growth with continued structural reforms and collaboration between government and private sector.Renewable Energy: Non-fossil sources constitute 45.4% of installed capacity.Green Bonds: Rs 36,000 crore raised in 2023 for emission reduction projects.Welfare Reforms: Ayushman Bharat scheme has generated 34.7 crore cards and covered 7.37 crore hospital admissions, saving over ₹1.25 lakh crore in out-of-pocket expenses.Labor Market: Unemployment rate at 3.2%; EPFO net payroll additions doubled in five years.Sector Growth: Livestock sector grew at 7.38% CAGR; fisheries sector at 8.9% CAGR.Tech Adoption: Digital Agriculture Mission and e-NAM for smart agriculture technologies.Industrial Growth: 9.5% growth in FY24; significant improvements in manufacturing, construction, and mining.Coal Production: Record 997.2 million tonnes produced, reducing import dependence. ",POSITIVE,2024-07-22
Focusing on FDI from China a better way to boost India's exports to US: Economic Survey 2024,https://www.moneycontrol.com/technology/focusing-on-fdi-from-china-a-better-way-to-boost-indias-exports-to-us-article-12774640.html,general,"Opting for Foreign Direct Investment (FDI) as a strategy to leverage the China plus one approach will be more beneficial than depending solely on trade. This is due to China being India's leading import partner and the increasing trade deficit with China. “As the US and Europe move their immediate sourcing away from China, it is more effective for Chinese companies to invest in India and export products to these markets directly. This approach is preferable to importing from China, adding minimal value, and re-exporting,” the Economic Survey 2023-2024, tabled on July 22, said. Countries such as Mexico, Vietnam, Taiwan and Korea were direct beneficiaries of the US’s trade diversion from China. Even while these nations increased their share of exports to the US, they also displayed a concomitant rise in Chinese FDI. “Therefore, the world cannot completely look past China, even as it pursues China plus one. India faces two choices to benefit from China plus one strategy: it can integrate into China's supply chain or promote FDI from China. Among these choices, focusing on FDI from China seems more promising for boosting India's exports to the US, similar to how East Asian economies did in the past,” the survey added. Follow our live blog for the latest on the Economic Survey 2024 There has been a significant shift in global manufacturing in the last five years. Major multinational companies, including Apple, want to reduce their reliance on China, traditionally known as the ""world's factory."" This is due to disruptions caused by COVID-19, growing tensions between the US and China, and rising costs of doing business in China. As a result, several companies have adopted a 'China plus one strategy' to reduce their risk exposure to China. The survey highlighted a study by the Boston Consulting Group, which revealed that over 90 percent of manufacturers in North America moved some or all of their production to other countries like Mexico, Thailand, and Vietnam, suggesting a move away from China. The survey said that India's appeal lies in its large domestic consumer market, which makes it attractive for companies to set up operations there. In the electronics sector, there is a focus on smartphone manufacturing and assembly. The government's PLI scheme, including tax breaks and subsidies, significantly attracts companies. The rise in India's domestic smartphone demand is also a key factor in companies' investing decisions. Also read: Economic Survey pegs FY25 GDP growth at 6.5-7% For instance, Apple assembled $14 billion worth of iPhones in India during FY24, constituting 14 percent of its global iPhone production. Foxconn has started production of Apple mobile phones in Karnataka and Tamil Nadu.While India may not be an immediate beneficiary of the trade diversion from China, it has witnessed a substantial increase in its electronic exports over time. Implementing the PLI scheme has been a key driver of this growth. India's electronic exports to the US have transitioned from a trade deficit of $0.6 billion in FY17 to a trade surplus of $8.7 billion in FY24, underscoring a significant increase in value addition. Within the electronics sector, the category that has experienced the most growth is mobile phones, with exports to the US rising from $2.2 billion in FY23 to $5.7 billion in FY24. “As India looks to deepen its involvement in Global Value Chains (GVCs), it will look to the successes and strategies of East Asian economies. These economies have typically pursued two main strategies: reducing trade costs and facilitating foreign investment,” as per the survey. Given that GVCs are designed to minimise costs, countries like Malaysia, Vietnam, and Taiwan have focused on lowering their trade costs over time. For India, improving logistical efficiency has been a key focus. The second strategy, focused on investment facilitation, includes actions to increase and stabilise foreign investment. “The PLI scheme, for example, encourages high-quality foreign investment by offering a market-linked incentive system for companies to comply with. Over the medium term, India is focusing on integrating its value chain with that of the West, particularly in sectors like renewable energy and advanced technology, including artificial intelligence, semiconductors, and next-generation telecommunications,” the survey said.
       ",POSITIVE,2024-07-22
"Hiring in IT sector unlikely to pick up significantly, says Economic Survey",https://www.moneycontrol.com/technology/hiring-in-it-sector-unlikely-to-pick-up-significantly-says-economic-survey-article-12774560.html,general,"The Economic Survey for the financial year 2023-24, tabled on July 22 in the Parliament, said that hiring in the information technology (IT) sector had slowed down considerably in the last financial year, and even if hiring does not decline further, it is unlikely to pick up significantly. The comment on the IT sector in the Survey comes at a time when headcount in some of the biggest IT companies declined for the first time in decades. In February, tech industry body Nasscom had said the sector will create just 60,000 new jobs in the FY24, which pales in comparison to the 270,000 jobs that the sector created in the previous fiscal year. Nonetheless, the additions in FY24 would take the total to 5.43 million employees in the services export sector. “However, leveraging the initiatives taken by the government and capturing the untapped potential in emerging markets, exports of business, consultancy and IT-enabled services can expand,” the survey read. The document further says that IT and business services will likely retain their prominent international presence in the medium term. “However, studies suggest that the application of Artificial Intelligence (AI) is likely to restrain the growth opportunities for business services progressively and, therefore, poses a challenge to long-term sustainability and job creation,” the document read. It further said that the IT and IT-enabled services have been instrumental in maintaining the country's external balance through export earnings, which are set to increase further. “The flourishing growth of IT services has also supported the expansion of Global Capability Centres (GCCs) and the tech start-up ecosystem in India,” the document read. Also read: Revenue of ER&D GCCs grows over 30% to $25 billion GCCs in India ",NEGATIVE,2024-07-22
"In a big blow to Nitish Kumar's JDU, Centre denies special status for Bihar",https://www.moneycontrol.com/news/india/in-a-big-blow-to-nitish-kumars-jdu-centre-denies-special-status-for-bihar-12774799.html,general,"The Centre on Monday denied special category status to Bihar. Minister of State for Finance Pankaj Chaudhary said the Special Category Status for plan assistance was granted in the past by the National Development Council (NDC) to some states that were characterised by a number of features necessitating special consideration. Ramprit Mandal, JDU MP from Bihar's Jhanjharpur, had asked the Finance Ministry if the government has a plan to provide special status to Bihar. “The decision was made based on an integrated consideration of all factors and the peculiar situation of the state. Earlier, the request of Bihar for special category status was considered by an inter-ministerial group (IMG), which submitted its report on March 30, 2012. The IMG came to the finding that based on existing NDC criteria, the case for special category status for Bihar is not made out,” Chaudhary told the Lok Sabha during the ongoing monsoon session in Parliament. Meanwhile, Lalu Prasad Yadav's Rashtriya Janata Dal (RJD)took a potshot at the JD(U).  “Bihar ko nahin milega Vishesh rajya ka darja (Bihar will not get special state status!)” the tweet by the RJD read. “Nitish Kumar and JDU can now comfortably enjoy power at the Centre and continue doing hypocritical politics on 'special state status'!” the RJD posted on X.""बिहार को नहीं मिलेगा विशेष राज्य का दर्जा!""- संसद में मोदी सरकार। नीतीश कुमार और JDU वाले अब आराम से केंद्र में सत्ता का रसास्वादन करते हुए 'विशेष राज्य के दर्जे' पर ढोंग की राजनीति करते रहें! pic.twitter.com/lpd8oIKEda — Rashtriya Janata Dal (@RJDforIndia) July 22, 2024 The Nitish Kumar-led JD(U), which is a key constituent of the National Democratic Alliance, recently passed a resolution demanding special category status for the state. A special status ensures more central support to a backward state to expedite its growth. The Constitution does not provide for a special status for any state. It was introduced on the recommendations of the Fifth Finance Commission in 1969. Among the states that have received a special status so far are Jammu and Kashmir (now a Union Territory), Noreastern states and hill states such as Himachal Pradesh and Uttarakhand. During an all-party meeting, the demand for special category status for Bihar came from the ruling National Democratic Alliance as well as the INDIA opposition bloc, The BJP allies — Sanjay Kumar Jha of the Janata Dal (United) and Union minister Chirag Paswan of the Lok Janshakti Party (Ram Vilas) — also supported the demand.  The Rashtriya Janata Dal (RJD) also joined the chorus.
       ",NEGATIVE,2024-07-22
