Symbol,Identifier,Company,ISIN,Sector,Processed_Company
HINDALCO,HINDALCOEQN,Hindalco Industries Limited,IN9038A01010,NIFTY 50,hindalco industries
BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024,NIFTY 50,bharti airtel
NTPC,NTPCEQN,NTPC Limited,INE733E07JE0,NIFTY 50,ntpc
SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07FY9,NIFTY 50,shriram finance
GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021,NIFTY 50,grasim industries
JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038,NIFTY 50,jsw steel
M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026,NIFTY 50,mahindra mahindra
EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021,NIFTY 50,eicher motors
WIPRO,WIPROEQN,Wipro Limited,INE075A01022,NIFTY 50,wipro
ONGC,ONGCEQN,Oil & Natural Gas Corporation Limited,INE213A01029,NIFTY 50,oil natural gas corporation
ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042,NIFTY 50,adani ports and special economic zone
BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010,NIFTY 50,bajaj auto
TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036,NIFTY 50,tech mahindra
HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026,NIFTY 50,hero motocorp
TATASTEEL,TATASTEELEQN,Tata Steel Limited,IN9081A01010,NIFTY 50,tata steel
LT,LTEQN,Larsen & Toubro Limited,INE018A01030,NIFTY 50,larsen toubro
KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028,NIFTY 50,kotak mahindra bank
SBIN,SBINEQN,State Bank of India,INE062A08066,NIFTY 50,state bank of india
COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014,NIFTY 50,coal india
APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY 50,apollo hospitals enterprise
ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY 50,ultratech cement
INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY 50,infosys
RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018,NIFTY 50,reliance industries
HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY 50,hdfc life
INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY 50,indusind bank
TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NIFTY 50,tata consumer products
ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY 50,adani enterprises
CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY 50,cipla
HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027,NIFTY 50,hindustan unilever
AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034,NIFTY 50,axis bank
TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY 50,titan
BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052,NIFTY 50,britannia industries
LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY 50,ltimindtree
POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY 50,power grid corporation of india
MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010,NIFTY 50,maruti suzuki india
HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013,NIFTY 50,hdfc bank
BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A07039,NIFTY 50,bajaj finance
HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY 50,hcl technologies
BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026,NIFTY 50,bajaj finserv
TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY 50,tata motors
ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY 50,icici bank
DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY 50,dr reddys laboratories
ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY 50,itc
SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A01036,NIFTY 50,sun pharmaceutical industries
BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011,NIFTY 50,bharat petroleum corporation
DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024,NIFTY 50,divis laboratories
SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016,NIFTY 50,sbi life
TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029,NIFTY 50,tata consultancy services
ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026,NIFTY 50,asian paints
NESTLEIND,NESTLEINDEQN,Nestle India Limited,INE239A01024,NIFTY 50,nestle india
ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015,NIFTY NEXT 50,zomato
JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY NEXT 50,jindal steel power
VEDL,VEDLEQN,Vedanta Limited,INE205A01025,NIFTY NEXT 50,vedanta
ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY NEXT 50,adani power
VBL,VBLEQN,Varun Beverages Limited,INE200M01039,NIFTY NEXT 50,varun beverages
CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011,NIFTY NEXT 50,cholamandalam investment and finance
MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY NEXT 50,samvardhana motherson international
BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026,NIFTY NEXT 50,bosch
TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY NEXT 50,tvs motor
HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034,NIFTY NEXT 50,havells india
CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY NEXT 50,canara bank
IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010,NIFTY NEXT 50,indian oil corporation
LICI,LICIEQN,Life Insurance Corporation Of India,INE0J1Y01017,NIFTY NEXT 50,life corporation of india
BANKBARODA,BANKBARODAEQN,Bank of Baroda,INE028A01039,NIFTY NEXT 50,bank of baroda
RECLTD,RECLTDEQN,REC Limited,INE020B07IF7,NIFTY NEXT 50,rec
JIOFIN,JIOFINEQN,Jio Financial Services Limited,INE758E01017,NIFTY NEXT 50,jio financial services
ABB,ABBEQN,ABB India Limited,INE117A01022,NIFTY NEXT 50,abb india
INDIGO,INDIGOEQN,InterGlobe Aviation Limited,INE646L01027,NIFTY NEXT 50,interglobe aviation
SHREECEM,SHREECEMEQN,SHREE CEMENT LIMITED,INE070A01015,NIFTY NEXT 50,shree cement
GAIL,GAILEQN,GAIL (India) Limited,INE129A01019,NIFTY NEXT 50,gail india
DLF,DLFEQN,DLF Limited,INE271C01023,NIFTY NEXT 50,dlf
NAUKRI,NAUKRIEQN,Info Edge (India) Limited,INE663F01024,NIFTY NEXT 50,info edge india
PNB,PNBEQN,Punjab National Bank,INE160A01022,NIFTY NEXT 50,punjab national bank
BEL,BELEQN,Bharat Electronics Limited,INE263A01024,NIFTY NEXT 50,bharat electronics
PFC,PFCEQN,Power Finance Corporation Limited,INE134E07422,NIFTY NEXT 50,power finance corporation
TRENT,TRENTEQN,Trent Limited,INE849A13017,NIFTY NEXT 50,trent
SIEMENS,SIEMENSEQN,Siemens Limited,INE003A01024,NIFTY NEXT 50,siemens
TATAPOWER,TATAPOWEREQN,Tata Power Company Limited,INE245A01021,NIFTY NEXT 50,tata power
AMBUJACEM,AMBUJACEMEQN,Ambuja Cements Limited,INE079A01024,NIFTY NEXT 50,ambuja cements
BAJAJHLDNG,BAJAJHLDNGEQN,Bajaj Holdings & Investment Limited,INE118A01012,NIFTY NEXT 50,bajaj holdings investment
ADANIENSOL,ADANIENSOLEQN,Adani Energy Solutions Limited,INE931S01010,NIFTY NEXT 50,adani energy solutions
HAL,HALEQN,Hindustan Aeronautics Limited,INE066F01020,NIFTY NEXT 50,hindustan aeronautics
MARICO,MARICOEQN,Marico Limited,INE196A01026,NIFTY NEXT 50,marico
IRFC,IRFCEQN,Indian Railway Finance Corporation Limited,INE053F07561,NIFTY NEXT 50,indian railway finance corporation
ZYDUSLIFE,ZYDUSLIFEEQN,Zydus Lifesciences Limited,INE010B01027,NIFTY NEXT 50,zydus lifesciences
IRCTC,IRCTCEQN,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,NIFTY NEXT 50,indian railway catering and tourism corporation
SBICARD,SBICARDEQN,SBI Cards and Payment Services Limited,INE018E01016,NIFTY NEXT 50,sbi cards and payment services
TORNTPHARM,TORNTPHARMEQN,Torrent Pharmaceuticals Limited,INE685A01028,NIFTY NEXT 50,torrent pharmaceuticals
ICICIPRULI,ICICIPRULIEQN,ICICI Prudential Life Insurance Company Limited,INE726G01019,NIFTY NEXT 50,icici prudential life
GODREJCP,GODREJCPEQN,Godrej Consumer Products Limited,INE102D01028,NIFTY NEXT 50,godrej consumer products
DABUR,DABUREQN,Dabur India Limited,INE016A01026,NIFTY NEXT 50,dabur india
UNITDSPR,UNITDSPREQN,United Spirits Limited,INE854D01024,NIFTY NEXT 50,united spirits
SRF,SRFEQN,SRF Limited,INE647A01010,NIFTY NEXT 50,srf
