title,url,type,date,content,Stock_Names,Sentiment,Summary
How a research analyst's article led Sebi to Axis Capital's 'high-risk transaction',https://www.moneycontrol.com/news/business/markets/sebis-action-on-axis-capital-research-analysts-article-tipped-off-the-regulator-about-high-risk-transaction-12825839.html,general,2024-09-19,registered research analyst s article flagged irregularity axis capital s  acl s  handling nonconvertible debenture issue market regulator  article hemindra kishen hazari  titled  axis capital investment bank hedge fund  dated january 16  2024  brought regulator s attention ncd issue  september 19  securities exchange board india  sebi  passed interim order restraining acl taking new assignments capacity merchant banker  arranger underwriter issue offer sale securities debt segment orders  also read  sebi bars axis capital acting investment banker debt market orders order passed sebi s wholetime member  wtm  ashwani bhatia stated hazari s article highlighted certain concerns regarding highrisk transaction undertaken acl  sebiregistered merchant banker wholly owned subsidiary axis bank  following reading article  regulator s officials conducted inspection acl  inspection examined whether transaction undertaken acl respect listed nonconvertible debentures   ncds   sojo infotel pvt  ltd regulator passed interim order stating acl provided guarantee ncd issue guise underwriting  permitted existing regulatory framework  regulator even found arrangement posing risk financial system  potentially disrupt orderly functioning market   hazari  according webpage  commentator 25 years experience indian capital markets  specialised research banking macroeconomy  page added   managerial experience establishing profitable equities business  leading mentoring analysts   arrangement acl came  ncd issue  debenture trustee deed  dtd  executed sojo  axis debenture trustee  adt  acl  sojo pledged shares lil security cover ncd issue  dtd  default  debenture trustee would invoke pledge   according dtd  acl able find buyers pledged shares  would fulfil  underwriting commitment   purchase fund purchase pledged shares  order noted   acl unconditionally  unequivocally irrevocablyobligated purchase fund purchase pledged shares   order stated   commitment provided acl respect ncds sojo termed underwriting activity agreement  subscribe procure subscription securities  issued offered sale  remaining unsubscribed  rather  guarantee redeem ncds sojo event default maturity   order noted  arrangement  acl went beyond mandate issue management activity contravention definition underwriting role merchant banker defined mb regulations  1992 ,"axis bank, acc, iti",NEGATIVE,Acl handling nonconvertible debenture issue market regulator  article hemindra kishen hazari  titled  axis capital investment bank hedge fund  dated january 16  2024  brought regulator s attention ncd issue  september 19  securities exchange board india  sebi  passed interim order restraining acl taking new assignments.
Trade setup for Friday: Top 15 things to know before the opening bell,https://www.moneycontrol.com/news/business/markets/trade-setup-for-friday-top-15-things-to-know-before-the-opening-bell-62-12825857.html,general,2024-09-19,benchmark indices reacted positively 50 bps cut federal funds rate  nifty 50 rising 235 points 25600 intraday  however  could sustain gains due profit booking  ending 38point gain 25416 september 19 index failed sustain upwardsloping resistance trendline  crucial upward move towards 25600  may consolidate support 25300  according experts  15 data points collated help spot profitable trades  15 data points collated help spot profitable trades  1  key levels nifty 50 resistance based pivot points  25558  25614  25704 support based pivot points  25378  25322  25232 special formation  nifty 50 formed bearish candlestick pattern long upper shadow daily charts  indicating profit booking higher levels  however  remained key moving averages  positive bias momentum indicators rsi  relative strength index  macd  moving average convergence divergence   2  key levels bank nifty resistance based pivot points  53273  53392  53585 support based pivot points  52887  52767  52574 resistance based fibonacci retracement  53362  54368 support based fibonacci retracement  52491  51949 special formation  bank nifty continued outperform benchmark nifty 50  hitting fresh record high rising 287 points close 53038 index formed bullish candlestick pattern long upper shadow daily charts  resembling shooting star pattern high  bearish reversal pattern   signalling profit booking peak  index continued higher highshigher lows formation sixth consecutive session  3  nifty call options data according weekly options data  25400 strike holds maximum open interest  241 crore contracts   level act key level nifty short term  followed 25500 strike  138 crore contracts  26000 strike  11 crore contracts   maximum call writing observed 25400 strike  saw addition 184 crore contracts  followed 25500 25800 strikes  added 6914 lakh 3997 lakh contracts  respectively  maximum unwinding seen 25300 strike  shed 1042 lakh contracts  followed 26500 25200 strikes  shed 997 lakh 437 lakh contracts  respectively  4  nifty put options data put side  maximum open interest seen 25400 strike  209 crore contracts   act key level nifty  followed 25000 strike  9077 lakh contracts  25500 strike  7181 lakh contracts   maximum put writing observed 25400 strike  saw addition 179 crore contracts  followed 25500 25300 strikes  6221 lakh 2693 lakh contracts added  respectively  put unwinding seen 24500 strike  shed 257 lakh contracts  followed 24400 24300 strikes  shed 722 lakh 704 lakh contracts  respectively  5  bank nifty call options data according monthly options data  53000 strike holds maximum open interest  2135 lakh contracts  act key resistance level index short term  followed 53500 strike  2118 lakh contracts  54000 strike  1932 lakh contracts   maximum call writing visible 53200 strike  addition 827 lakh contracts   followed 53500 strike  79 lakh contracts  54000 strike  786 lakh contracts   maximum unwinding seen 52700 strike  shed 163 lakh contracts  followed 52800 52500 strikes  shed 161 lakh 133 lakh contracts  respectively  6  bank nifty put options data put side  maximum open interest seen 52000 strike  2261 lakh contracts   act key support level index  followed 53000 strike  2005 lakh contracts  52500 strike  1704 lakh contracts   maximum put writing observed 53000 strike  added 1298 lakh contracts   followed 52500 strike  888 lakh contracts  51500 strike  566 lakh contracts   hardly put unwinding seen  7  funds flow  rs crore  8  putcall ratio nifty putcall ratio  pcr   indicates mood market  jumped 126 september 19  113 levels previous session  increasing pcr  higher 07 surpassing 1  means traders selling put options call options  generally indicates firming bullish sentiment market  ratio falls 07 moves towards 05  indicates selling calls higher selling puts  reflecting bearish mood market  9  india vix volatility dropped sharply end uncertainty related federal reserve event  providing comfort bulls  india vix  fear index  fell 675 percent 1247  1337 levels  10  long buildup  54 stocks  long buildup seen 54 stocks  increase open interest  oi  price indicates buildup long positions  11  long unwinding  29 stocks  29 stocks saw decline open interest  oi  along fall price  indicating long unwinding  12  short buildup  63 stocks  63 stocks saw increase oi along fall price  indicating buildup short positions  13  shortcovering  39 stocks  39 stocks saw shortcovering  meaning decrease oi  along price increase  14  high delivery trades stocks saw high share delivery trades  high share delivery reflects investing  opposed trading  interest stock  15  stocks f  ban securities banned f  segment include companies derivative contracts cross 95 percent marketwide position limit  stocks added f  ban  chambal fertilisers chemicals  nalco  sail stocks retained f  ban  aarti industries  biocon  birlasoft  gnfc  granules india  lic housing finance  oracle financial services software  punjab national bank  rbl bank stocks removed f  ban  balrampur chini mills disclaimer  views investment tips expressed experts moneycontrol website management  moneycontrol advises users check certified experts taking investment decisions  disclosure  moneycontrol part network18 group  network18 controlled independent media trust  reliance industries sole beneficiary ,"reliance industries, punjab national bank, rec, acc, oracle financial services software, biocon, lic housing finance, bse, aarti industries, rbl bank, birlasoft, iti, balrampur chini mills, granules india",POSITIVE, benchmark indices reacted positively 50 bps cut federal funds rate  nifty 50 rising 235 points 25600 intraday  however  could sustain gains due profit booking  ending 38point gain 25416 september 19 index failed sustain upwardsloping resistance trendline  crucial upward move towards 25600  may consolidate support 25300.
"Reliance Infrastructure to seek shareholders' nod for Rs 3,000-crore QIP",https://www.moneycontrol.com/news/business/markets/reliance-infrastructure-to-seek-shareholders-nod-for-rs-3000-crore-qip-12825855.html,general,2024-09-19,reliance infrastructure  board september 19 approved raising rs 30144 crore preferential issue 1256 crore equity shares company issue price rs 240 apiece  firm said exchange filing  company said preferential issue made promoter group entity risee infinity private limited nonpromoter entities florintree innovation llp  fortune financial  equities services private limited  filing showed  preferential issue result enhancing promoter  equity stake  statement said  additionally  board also okayed seeking enabling authorisation shareholders raise rs 3000 crore making qualified institutional placement  qip   company said proceeds qip used expansion business operations directly andor investment subsidiaries joint ventures including meeting longterm working capital requirements general corporate purposes  issue also give boost company  networth  rising rs 9000 crore rs 12000 crore  statement added   company near zero debt enhanced capital likely  help participation high growth sectors aid government  vision  make india   viksit bharat    board also approved issuance postal ballot seek shareholders  approval preferential issue qip  company said ,"rec, iti, reliance infrastructure",POSITIVE,Board september 19 approved raising   preferential issue 1256 crore equity shares company issue price    company said preferential issue made promoter group entity risee infinity private limited nonpromoter entities florintree innovation llp  fortune financial  equities services private limited.
RBI lifts restrictions imposed on IIFL Finance's gold loan business,https://www.moneycontrol.com/news/business/rbi-lifts-restrictions-imposed-on-iifl-finances-gold-loan-business-12825738.html,general,2024-09-19,iifl finance ltd said september 19 reserve bank india  rbi  lifted restrictions imposed company s gold loan business   rbi  communication dated september 19  2024  lifted restrictions imposed gold loan business company  rbi s decision effective immediately allows company resume sanctioning  disbursal  assignment  securitisation  sale gold loans compliance relevant laws regulations   said iifl finance stock exchange filing  september 19  iifl finance s shares nse closed trading 6 percent lower rs 497 apiece   company committed upholding highest standards compliance continue ensure remedial actions taken sustained   added iifl finance  rbi imposed curbs march 4  2024 iifl fell regulatory scrutiny march amid crackdown financial firms  asked rbi stop disbursing new goldbacked lending following  material supervisory concerns   three local rating companies  icra ltd  crisil ltd care ratings ltd  put rating watch negative developing implications following ban  international credit assessor fitch ratings also put b rating negative watch  employee number gold loan branches already dropped 15000 march 12000 june  according financial reports  reported bloomberg earlier september 19 assets management gold loan business halved rs 12162 crore august 5 since march ban  march  rbi said inspection company carried reference iifl  financial position march 31  2023   certain material supervisory concerns observed gold loan portfolio company  including serious deviations assaying certifying purity net weight gold time sanction loans time auction upon default   noted  march  rbi said supervisory restrictions reviewed upon completion special audit instituted rbi rectification company special audit findings findings rbi inspection satisfaction central bank  inputs bloomberg,"itc, rec, acc, bse, crisil, iifl finance, iti, care ratings",NEGATIVE,iifl finance ltd said september 19 reserve bank india  rbi lifted restrictions imposed company s gold loan business. iifl fell regulatory scrutiny march amid crackdown financial firms  asked rbi stop disbursing new goldbacked lending following material supervisory concerns.
S&P 500 hits all-time high on Wall Street investors soft-landing hopes,https://www.moneycontrol.com/news/business/markets/sp-500-hits-all-time-high-on-wall-street-investors-soft-landing-hopes-12825845.html,general,2024-09-19,wall street traders betting federal reserve able engineer soft landing spurred rally riskier corners market  stocks hitting alltime highs  almost every major group  p 500 gained  benchmark 17  poised 39th record year  nasdaq 100 climbed 29  russell 2000 small caps extended advance seventh straight session  bitcoin jumped 5   bonds dollar fell  fed  bold start cutting interest rates determination fall behind curve reignited hopes central bank able avoid recession  data thursday showing slide jobless claims lowest since may signaled labor market remains healthy despite slowdown hiring   despite volatility fed  rate cut   p 500  bullish trend remains intact   said fawad razaqzada city index forexcom   fed  decision deliver 50basis point rate cut largely welcomed investors  move seen bold necessary step ease economic concerns without sending panic signals reminiscent 2008 financial crisis  still   p 500 20  2024 yeartodate  investors wondering rally sustained   surface  appears market sentiment bullish   razaqzada said   yet  looming risks  global economic slowdown eurozone china  may challenge optimism  moreover  seasonal trends indicate september typically tough month equities   p 500 topped 5700 dow jones industrial average hovered near 42000 yield 10year treasuries advanced three basis points 374   pound rose bank england held rates steady said  rush ease policy  yen fell ahead bank japan policy decision ,"itc, rec, iti",POSITIVE,Stocks hit alltime highs in almost every major group. Wall Street traders betting federal reserve able engineer soft landing spurred rally riskier corners.
"Zomato records 100% growth in brand value, MakeMyTrip enters list of top Indian firms",https://www.moneycontrol.com/technology/zomato-records-100-growth-in-value-makemytrip-enters-list-of-top-indian-brands-article-12825659.html,general,2024-09-19,zomato emerged yearâs fastest riser 100â percent yearonyear growth brand value  3549 due innovation expansion quick commerce  according kantar brandz valuable indian brands  report  theâ brand doubled value back reducing friction customers well building strong desire among consumers brand  meanwhile  travel platform makemytrip made debut list top indian brands making marked improvement customer experience   makemytrip s entry list driven fact people traveling  using travel websites   company also reduced friction making bookings finding destinations entire process travel   saidâ soumya mohanty  managing director  chief client officer  insights  south asia kantar  marketing data analytics company  indiaâs top 75 valuable brands combined value  4505 billion  marking 19â percent increase last year  brands across diverse business sectors fuelled growth  54 brands boosting brand value past year  growth outpaces rankings globally closely mirrors 20â percent increase seen global top 100 brands  tcs top tata consultancy services  tcs  retained top position brand rankings third straight year brand value  497 billion  16â percent versus last year  driven investments innovation  particularly ai digital transformation   tcs remains top due sheer financial size  brandsâ like tcs  infosys  hcl tech  sbi  big part total value sheer size  brands also lot activities brand building  look tcs  sponsors multiple marathons  way get salience brand name visibility   saidâ deepender rana  executive managing director  insights  south asia kantar  among categories  automotive seen significant growthâ along financial services  aspirational categories automotive sector also seen strong results  led maruti suzuki 24â percent growth brand value  bajaj auto 94â percent increase  mahindra 78â percent rise brand value  mahindra s suvs  sport utility vehicle  make 53â percent india s passenger car market june 2024 success models like xuv700  scorpio n  thar  continue see high demand long waiting periods  solidified mahindra s leadership mid premium suvs  rising disposable income growing middle class driving demand vehicles  shifting car ownership status symbol necessity  improved infrastructure  government support evs strong export growth expectations fueling industry s momentum  report said   ve seen big uptick call aspirational categories last years  look top risers year  sectors like automobiles premiumization happening suvs  s uptick travel leisureâ along withâ real estate   saidâ rana  strong bounce back added compared precovid  s strong bounce back brand value top indian firms   beginning postcovid period  saw big pickup sectors like packaged goods  last year  ve seen packaged goods sector slowing bit   2020  value top 75 brands dropped 6 percent  global brands increased 6 percent  mohanty said covid  value top indian brands dropped  â growing faster postcovid period  top brands  whether globally india  outpacing overall market growth investing brand building  mohanty said   two things see  one call meaning  meaning means meet people s needs  also emotionally delight  brands growing faster average meaningful  second aspect whether brand stands isâ seen setting trends category  brand well two aspects  brand s valueâ grows 27â percent versus average growth 19â percent  brand nt meet expectations aspects  grow 17â percent   aspects brands invest build equity help grow faster   rana said  invest brand equity however  noted thatâ despite strong investor confidence  large brands face looming challengeâ longterm decline demand power  may remain stock market favourites  risk losing relevance minds consumers nt adapt shifting expectations  rana said   brands top 75 india simply sheer size  look top 100 brands globally  8â percent classified average meaning  making  difference  india  rises 21â percent  means many brands top 75 vulnerable value decline  indian brands grown well  need keep investing brand equity   said ,"bajaj auto, infosys, tata consultancy services, zomato, rec, acc, rites, iti",POSITIVE,Zomato emerged yearâs fastest riser 100â percent yearonyear growth brand value  3549 due innovation expansion quick commerce. travel platform makemytrip made debut list top indian brands making marked improvement customer experience. tcs retained top position brand rankings third straight year  driven investments innovation  particularly digital transformation.
"BigBasket to launch 10-minute deliveries of electronics, starting with iPhone 16",https://www.moneycontrol.com/technology/bigbasket-to-launch-quick-commerce-deliveries-of-electronics-starting-with-iphone-16-article-12825767.html,general,2024-09-19,tataowned grocery delivery platform bigbasket  recently announced pivot quick commerce  making entry consumer electronics category  starting iphone 16 company said launching electronics category partnership croma  tata company  enable bigbasket deliver mobile phones  laptops  playstation consoles  microwave  within 10 minutes  hari menon  cofounder ceo bigbasket  said   thrilled bring iphone 16 platform  marking beginning foray electronics space  startvery soon  launching wide range toptier electronics  available lightningfast delivery service  moneycontrol reported earlier bbdaily  subscription service tata  bigbasket  runs separate app currently merged main bigbasket app coming months company makes strides consolidate hold india  burgeoning quick commerce market  company currently runs two apps  bigbasket  main app  bbdaily  subscription service  even within main app  different windows  one slotted 23 hour deliveries  bigbasket supersaver  one 1020 minute deliveries  bbnow   however  bigbasket away fragmented approach preparing house offerings single app divisions coming months  strategy part bigbasket  larger move entirely moving away slotted 23 hour deliveries towards 1020 minute delivery model  becoming pure play quick commerce company  customer preferences evolved  analysts kotak recently pegged quick commerce  annualised gross merchandise value  gmv   55 billion  stellar growth rate market three years old  market heating   quick commerce  qc  industry witnessing enhanced competitive intensity new players flipkart entering fray bigbasket pivoting full qc model  next 12 months  expect competitive intensity rise players add stores similar geographies discountingprice competition increases   kotak  analysts said note clients august 30   three incumbents  blinkit  swiggy instamart zepto   however  may witness competition new players  bigbasket  flipkart potentially amazon  entering fray  ,"rec, iti",POSITIVE,Tataowned grocery delivery platform bigbasket  recently announced pivot quick commerce  making entry consumer electronics category  starting iphone 16 company said launching electronics category partnership croma  tata company. bigb basket deliver mobile phones  laptops  playstation consoles  microwave  within 10 minutes  hari menon  cofounder ceobigbasket.
MC EXCLUSIVE,https://www.moneycontrol.com/news/business/markets/rpsg-group-sanjiv-goenka-interview-firstsource-spencers-12825388.html,general,2024-09-19,rpsanjiv goenka group tweaking offshore onshore ratio change margin profile firstsource  chairman sanjiv goenka told moneycontrol september 19 chairman sanjiv goenka said firstsource  group s business process company  also scouting acquisitions us uk  along planning valueadded services like generative ai clients  goenka added spencers retail aiming breakeven march next year  plans pivot towards quick commerce 30minute deliveries  s edited excerpt sanjiv goenka s conversation moneycontrol s shweta punj  firstsource planning australia re offering australian people   s beginning  s small beginning hope become big  start melbourne  ve encouraged response melbourne administration  victoria administration large corporates headquartered begin providing services  continue serve well  hope grow  nt want restrict one two clients  want take across companies  s kind investment s kind job creation expected  ve identified office exhibition street  main street cbd begin  ll create 500 jobs melbourne  business grows  hope expand  specific areas focusing terms areas expertise offering australian companies  service provider  s client needs add value client  today  buzzword generative ai  use technology give services cheaper  add value  give pointed  focused feedback service  ve key sectors western part world  hope take australia well  s growth outlook firstsource  markets re really betting  considering us presidential elections coming  re seeing lot protectionist noises coming big market like united states america  looking diversifying  know  concern  yesterday  us fed raised rates 50 basis points  s good step  helps us certain segments business  example  mortgage business  ve adopted company simple building blocks  ve built building blocks grow margins 3 percent next 30 36 months something working aggressively  take growth rates higher industry  mine existing clients greater wallet share   50 top business clients  ve limited wallet share   take 8 percent 10 percent  doable  means additional business  550 million  changing mix onshoreoffshore  heavily skewed terms businesses onshore  shift ratio successfully beginning  changes margin profile  ve invested good g  beginning see results investment way additional business  making inroads world majors  re well healthcare space  re well bfsi space  re well telecom space  ve made beginning generative ai space   re getting valueadded spaces  re looking adding margins  re looking adding revenues   s grow company 2028  increase bottom lines two half times  focus  building blocks place  team s driving monitoring building blocks   s growing business  growing margins time adding value customer  simple  s great science re  yes  science comes technology  generative ai kind spaces  terms building blocks  re simple blocks   mentioned ratio onshore versus offshore changed  earlier    say generative ai going one key focus areas next one two years  re betting growth  generative ai definitely going important us  equally important get base business even competitive   significantly onshore limitedly offshore  change ratio reverse  ve made beginning one major telecom clients  media clients rather  ve actually made huge beginning ve shared part upside shifting ratio  increases margins overall  idea across clients  mine existing clients business  generate additional margins  high attritions  ve cut going cut   attrition high cost operations  reduce attrition  reduce costs thereby increase margins   tapping australian market  australia new zealand  kind acquisitions expect going forward  international markets re looking  within india  expansion plans looking like   re expanding within india  re expanding south africa  re expanding australia  re expanding us  re expanding uk  re looking organic plus inorganic  speak  multiple opportunities inorganic space re examining  till nt happen  nt  geography share us  multiple geographies looking  us  uk  south africa  australia  think one two geographies latin america  think re looking expanding  s firstsource specifically  okay  moving firstsource  terms retail business  spencer s  saw whole host stores shutting  s next retail business  march  idea get break even  cut  operate  ll continue operate two regions  east   s west bengal   profitable us  close rest  s vanity becoming national retailer  revenues  s bottom lines   expect get break even march  see business pivoting maybe quick commerce  ecommerce  s happening  quick commerce also happening  re conscious nt quick commerce purely sake revenues vanity  lose big sums money  s calibration losses sector revenues  okay  thinking getting quick commerce space  often really need something within 10 minutes   depends define quick commerce  10minute space really relevant space  nt necessarily think  30 minutes  yes  okay  go greenfield way looking making acquisitions space   looking making acquisitions space  okay  stage getting quick commerce 30minute delivery space  s beginning happen  s slow  begin selected geographies ve started east  use geographies operate  okay  timelines re working  idea get break even march  interview said group s market cap could exceed rs 2 lakh crore within next twoand ahalf years  want get sense markets looking  sectors re betting kind growth come  also time rpsanjiv goenka group companies well  see slowdown coming sector  s muted guidance sector  want get sense s driving optimism  depends upon whether believe rs 2 lakh crore rs 85000 crore optimistic  m sure s optimistic s challenging enough  challenging  re going big renewable energy expect significant part coming energy space  growing big chemical space  re growing big carbon black space  getting chemicals go ev batteries   expect big player contributor rs 2 lakh crore  firstsource  expect another big contributor  three put together  expect 75 percent 80 percent rs 2 lakh crore come three  music whole content ip business growing moment music ott channels turn pay  increase profitability dramatically increase valuations  growing 23 percent yearonyear grows irrespective anything else  number one content space  expect music grow significantly  expect sports vertical grow  valuations grown expect valuations double  actually make total additions  comes way 2 lakh crores  2 lakh mind conservative number  s based assumption bear run market  look investment climate india  s giving optimism  s giving hope india story  reforms would like see modi 30 deliver take momentum forward  well  biggest confidence booster prime minister modi government  m firm believer  modi hai toh mumkin hai  theory one inspires us think big know  gives us confidence grow  please grow  good encouraging  always ask  think government done enough  done lot terms policies lot terms ease business  ask personally  might little things little things  overall m fairly happy environment policies  think s really us go ahead  invest  grow  terms investment plans within country  specific states re looking s kind cap spending expect job creation expect coming within india  would expect invest rs 50000 crore next years job creation going humongous  think add least 15000 jobs existing 50000 yes  s bullish phase us  grow grow aggressively across segments sectors  s based systematic solid plans worked granular level  specific states re targeting re looking expanding  go wherever opportunities present  enthused opportunities presented gujarat  maharashtra  uttar pradesh  numbers share us  mr goenka  investments expect  investing even tamil nadu  even gujarat  even maharashtra  even uttar pradesh  continue invest home state  west bengal  re investing  setting new plant  new carbon black plant andhra pradesh  re growing actually literally wherever opportunities present   timelines share  specific area interest  well  power certainly important area interest  already distribute electricity greater noida region hope able expand  want get renewable power  s another area growth re looking  re looking setting major solar wind projects rajasthan  s underway  re looking maharashtra  karnataka  tamil nadu  gujarat  re literally growing ,iti,POSITIVE,Firstsource  chairman sanjiv goenka told moneycontrol september 19. Firstsource  group also scouting acquisitions us uk  along planning valueadded services like generative ai clients. Plans pivot towards quick commerce 30minute deliveries.
"RG Kar rape-murder case: Junior doctors call off protest, to resume duty from September 21",https://www.moneycontrol.com/news/business/rg-kar-rape-murder-case-junior-doctors-call-off-protest-to-resume-duty-from-september-21-12825884.html,general,2024-09-19,junior doctors agitating rg kar murder late september 19 said calling sitin protest join duty saturday  ndtv reported  move comes following west bengal government s appointment manoj kumar verma new kolkata police chief  replacing vineet goyal  removal two senior health department officials  giving medics  earlier demands  september 19  verma visited rg kar medical college hospital  postgraduate trainee doctor raped murdered august 9  sparking nationwide protests prompting junior doctors west bengal launch cease work   accompanied dipak sarkar  replaced abhishek gupta deputy commissioner police  north division   verma stayed hospital premises 30 minutes visited scene crime second floor emergency block met hospital authorities administrative building staterun tertiary healthcare facility  yesterday  doctors refused end strike  calling state s administrative measures  partial victory  movementâ also demanded discussions safety security doctors inside hospital premises including thorough rundown government wants spend rs 100 crore allocated tightening doctors  safety staterun hospitals ,"acc, iti, epl",NEGATIVE,Move comes following west bengal government s appointment manoj kumar verma new kolkata police chief. junior doctors agitating rg kar murder late september 19 said calling sitin protest join duty.
"Beef fat, fish oil used in making laddus at Tirupati Temple: Lab report",https://www.moneycontrol.com/news/india/beef-fat-fish-oil-used-in-making-laddus-at-tirupati-temple-lab-report-12825742.html,general,2024-09-19,shocking revelation  lab test report findings show beef tallow  fish oil palm oil used make laddus  distributed prasad  famous sri venkateswara temple tirupati  andhra pradesh chief minister n chandrababu naidu wednesday alleged substandard ingredients animal fat used making famous tirupati laddu  consecrated sweet  previous ysrcp government  however  party  ysrcp   rejected claim  report  findings reveal ghee used make iconic tirupati laddu prasadam previous ysrcp government contained traces animal fat  including beef tallow fish oil  sparking massive outrage accusations disrespecting religious sentiments  report centre analysis learning livestock food  calf  lab gujarat s national dairy development board revealed presence animal fat ghee used produce famed tirupati laddoos ysrcp power  report indicated ghee contained traces fish oil  beef tallow  lard  last semisolid white fat product obtained rendering fatty tissue pig  tirupati laddu distributed revered sri venkateswara temple tirupati  run tirumala tirupati devasthanams  ttd   party meeting wednesday  chief minister claimed laddu used made substandard ingredients  state minister nara lokesh also slammed previous ys jagan mohan reddy government issue   lord venkateswara swamy temple tirumala sacred temple  shocked learn ys jagan mohan reddy administration used animal fat instead ghee tirupati prasadam   said ,acc,NEGATIVE, lab test report findings show beef tallow  fish oil palm oil used make laddus  distributed prasad  famous sri venkateswara temple tirupati  andhra pradesh chief minister n chandrababu naidu wednesday alleged substandard ingredients animal fat used making famous tirupathi laddu. previous ys jagan mohan reddy administration used animal fat instead of ghee tir upati prasADam.
