title,url,type,date,content
"Swiggy IPO filing likely this weekend, say sources",https://www.moneycontrol.com/news/business/startup/swiggy-ipo-filing-likely-this-weekend-say-sources-12826156.html,general," September 20, 2024 / 12:12   ","Food and grocery delivery startup Swiggy is likely to file its draft red herring prospectus (DRHP) this weekend, according to people close to the developments. The approval for its confidential filing from the market regulator Sebi is almost through, paving the way for its DRHP, one of the sources above said. Once it files the DRHP, the company's management will take part in investor roadshows in the coming weeks across India, US and Singapore. Swiggy's public issue is one of the most anticipated this year, amid a rush of new age economy IPOs that have taken advantage of a thriving bull market. ""The time gap between a DRHP and RHP for a confidential filing is typically lesser as the market Regulator has already gone through the information,"" said a source. Swiggy did not immediately respond to queries seeking comments. Also read: Madhuri Dixit goes dhak dhak for Swiggy, snaps up shares ahead of IPO Swiggy recently upsized its IPO to $1.4 billion, amid intensifying competition in the online grocery delivery space, where its platform Instamart competes with the likes of Zomato-owned Blinkit, Zepto and Tata-owned BigBasket. Further, Indiaâ€™s food delivery market, which is estimated to grow to Rs 2 lakh crore by 2030, is a duopoly with Swiggy and Zomato together commanding over 90 percent of the food industry. While Zomato went public in 2021, Swiggy is set to join its rival in the coming months. Prosus (32 percent), SoftBank (8 percent), Accel (6 percent) are key investors in Swiggy. Elevation Capital, DST Global, Norwest, Tencent, Qatar Investment Authority (QIA), Singaporeâ€™s GIC, among several others are other shareholders in the company. The company was valued at $10.7 billion when it last raised funds in January 2022. However, over the past months, bankers have expressed confidence that Swiggy can list with a market capitalisation/valuation of around $10-13 billion, sources had earlier told Moneycontrol. The company, which was first expected to raise Rs 3,750 crore (around $450 million) through a fresh issue, will now issue fresh shares worth Rs 5,000 crore (about $600 million), an increase of Rs 1,250 crore or $150 million, as it readies a cash chest in a highly competitive market. In all, Swiggy was earlier set to raise $1.25 billion through its IPO, Rs 3,750 crore (around $450 million) in fresh issue and up to Rs 6,664 crore (around $800 million) as part of the offer-for-sale (OFS). However, once the companyâ€™s board approves the new proposal at its extraordinary general meeting (EGM) on October 3, the total IPO size will be around $1.4 billion, up from $1.25 billion, with the additional $150 million coming in via a fresh issue. There are no plans to change the OFS component yet. The change came days before Swiggy filed its DRHP. Moneycontrol was first to report about Swiggy filing its draft IPO papers with the capital markets regulator, via the confidential route, back on April 26. Since April, Swiggy has seen increased action in the secondaries market. Company shares have been changing hands at about Rs 330-350 apiece, Moneycontrol had earlier reported. HNIs and family offices have been buying shares in the company which was valued at $9-9.3 billion during secondary market transactions.
       "
"Swiggy recently upsized its IPO to $1.4 billion, amid intensifying competition in the online grocery delivery space, where its platform Instamart competes with the likes of Zomato-owned Blinkit, Zepto and Tata-owned BigBasket",https://www.moneycontrol.com/news/business/startup/swiggy-ipo-filing-likely-this-weekend-say-sources-12826156.html,general," September 20, 2024 / 12:12   ","Food and grocery delivery startup Swiggy is likely to file its draft red herring prospectus (DRHP) this weekend, according to people close to the developments. The approval for its confidential filing from the market regulator Sebi is almost through, paving the way for its DRHP, one of the sources above said. Once it files the DRHP, the company's management will take part in investor roadshows in the coming weeks across India, US and Singapore. Swiggy's public issue is one of the most anticipated this year, amid a rush of new age economy IPOs that have taken advantage of a thriving bull market. ""The time gap between a DRHP and RHP for a confidential filing is typically lesser as the market Regulator has already gone through the information,"" said a source. Swiggy did not immediately respond to queries seeking comments. Also read: Madhuri Dixit goes dhak dhak for Swiggy, snaps up shares ahead of IPO Swiggy recently upsized its IPO to $1.4 billion, amid intensifying competition in the online grocery delivery space, where its platform Instamart competes with the likes of Zomato-owned Blinkit, Zepto and Tata-owned BigBasket. Further, Indiaâ€™s food delivery market, which is estimated to grow to Rs 2 lakh crore by 2030, is a duopoly with Swiggy and Zomato together commanding over 90 percent of the food industry. While Zomato went public in 2021, Swiggy is set to join its rival in the coming months. Prosus (32 percent), SoftBank (8 percent), Accel (6 percent) are key investors in Swiggy. Elevation Capital, DST Global, Norwest, Tencent, Qatar Investment Authority (QIA), Singaporeâ€™s GIC, among several others are other shareholders in the company. The company was valued at $10.7 billion when it last raised funds in January 2022. However, over the past months, bankers have expressed confidence that Swiggy can list with a market capitalisation/valuation of around $10-13 billion, sources had earlier told Moneycontrol. The company, which was first expected to raise Rs 3,750 crore (around $450 million) through a fresh issue, will now issue fresh shares worth Rs 5,000 crore (about $600 million), an increase of Rs 1,250 crore or $150 million, as it readies a cash chest in a highly competitive market. In all, Swiggy was earlier set to raise $1.25 billion through its IPO, Rs 3,750 crore (around $450 million) in fresh issue and up to Rs 6,664 crore (around $800 million) as part of the offer-for-sale (OFS). However, once the companyâ€™s board approves the new proposal at its extraordinary general meeting (EGM) on October 3, the total IPO size will be around $1.4 billion, up from $1.25 billion, with the additional $150 million coming in via a fresh issue. There are no plans to change the OFS component yet. The change came days before Swiggy filed its DRHP. Moneycontrol was first to report about Swiggy filing its draft IPO papers with the capital markets regulator, via the confidential route, back on April 26. Since April, Swiggy has seen increased action in the secondaries market. Company shares have been changing hands at about Rs 330-350 apiece, Moneycontrol had earlier reported. HNIs and family offices have been buying shares in the company which was valued at $9-9.3 billion during secondary market transactions.
       "
"Swiggy IPO filing likely this weekend, say sources",https://www.moneycontrol.com/news/business/startup/swiggy-ipo-filing-likely-this-weekend-say-sources-12826156.html,general," September 20, 2024 / 12:12   ","Food and grocery delivery startup Swiggy is likely to file its draft red herring prospectus (DRHP) this weekend, according to people close to the developments. The approval for its confidential filing from the market regulator Sebi is almost through, paving the way for its DRHP, one of the sources above said. Once it files the DRHP, the company's management will take part in investor roadshows in the coming weeks across India, US and Singapore. Swiggy's public issue is one of the most anticipated this year, amid a rush of new age economy IPOs that have taken advantage of a thriving bull market. ""The time gap between a DRHP and RHP for a confidential filing is typically lesser as the market Regulator has already gone through the information,"" said a source. Swiggy did not immediately respond to queries seeking comments. Also read: Madhuri Dixit goes dhak dhak for Swiggy, snaps up shares ahead of IPO Swiggy recently upsized its IPO to $1.4 billion, amid intensifying competition in the online grocery delivery space, where its platform Instamart competes with the likes of Zomato-owned Blinkit, Zepto and Tata-owned BigBasket. Further, Indiaâ€™s food delivery market, which is estimated to grow to Rs 2 lakh crore by 2030, is a duopoly with Swiggy and Zomato together commanding over 90 percent of the food industry. While Zomato went public in 2021, Swiggy is set to join its rival in the coming months. Prosus (32 percent), SoftBank (8 percent), Accel (6 percent) are key investors in Swiggy. Elevation Capital, DST Global, Norwest, Tencent, Qatar Investment Authority (QIA), Singaporeâ€™s GIC, among several others are other shareholders in the company. The company was valued at $10.7 billion when it last raised funds in January 2022. However, over the past months, bankers have expressed confidence that Swiggy can list with a market capitalisation/valuation of around $10-13 billion, sources had earlier told Moneycontrol. The company, which was first expected to raise Rs 3,750 crore (around $450 million) through a fresh issue, will now issue fresh shares worth Rs 5,000 crore (about $600 million), an increase of Rs 1,250 crore or $150 million, as it readies a cash chest in a highly competitive market. In all, Swiggy was earlier set to raise $1.25 billion through its IPO, Rs 3,750 crore (around $450 million) in fresh issue and up to Rs 6,664 crore (around $800 million) as part of the offer-for-sale (OFS). However, once the companyâ€™s board approves the new proposal at its extraordinary general meeting (EGM) on October 3, the total IPO size will be around $1.4 billion, up from $1.25 billion, with the additional $150 million coming in via a fresh issue. There are no plans to change the OFS component yet. The change came days before Swiggy filed its DRHP. Moneycontrol was first to report about Swiggy filing its draft IPO papers with the capital markets regulator, via the confidential route, back on April 26. Since April, Swiggy has seen increased action in the secondaries market. Company shares have been changing hands at about Rs 330-350 apiece, Moneycontrol had earlier reported. HNIs and family offices have been buying shares in the company which was valued at $9-9.3 billion during secondary market transactions.
       "
"Swiggy IPO filing likely this weekend, say sources",https://www.moneycontrol.com/news/business/startup/swiggy-ipo-filing-likely-this-weekend-say-sources-12826156.html,general," September 20, 2024 / 12:12   ","Food and grocery delivery startup Swiggy is likely to file its draft red herring prospectus (DRHP) this weekend, according to people close to the developments. The approval for its confidential filing from the market regulator Sebi is almost through, paving the way for its DRHP, one of the sources above said. Once it files the DRHP, the company's management will take part in investor roadshows in the coming weeks across India, US and Singapore. Swiggy's public issue is one of the most anticipated this year, amid a rush of new age economy IPOs that have taken advantage of a thriving bull market. ""The time gap between a DRHP and RHP for a confidential filing is typically lesser as the market Regulator has already gone through the information,"" said a source. Swiggy did not immediately respond to queries seeking comments. Also read: Madhuri Dixit goes dhak dhak for Swiggy, snaps up shares ahead of IPO Swiggy recently upsized its IPO to $1.4 billion, amid intensifying competition in the online grocery delivery space, where its platform Instamart competes with the likes of Zomato-owned Blinkit, Zepto and Tata-owned BigBasket. Further, Indiaâ€™s food delivery market, which is estimated to grow to Rs 2 lakh crore by 2030, is a duopoly with Swiggy and Zomato together commanding over 90 percent of the food industry. While Zomato went public in 2021, Swiggy is set to join its rival in the coming months. Prosus (32 percent), SoftBank (8 percent), Accel (6 percent) are key investors in Swiggy. Elevation Capital, DST Global, Norwest, Tencent, Qatar Investment Authority (QIA), Singaporeâ€™s GIC, among several others are other shareholders in the company. The company was valued at $10.7 billion when it last raised funds in January 2022. However, over the past months, bankers have expressed confidence that Swiggy can list with a market capitalisation/valuation of around $10-13 billion, sources had earlier told Moneycontrol. The company, which was first expected to raise Rs 3,750 crore (around $450 million) through a fresh issue, will now issue fresh shares worth Rs 5,000 crore (about $600 million), an increase of Rs 1,250 crore or $150 million, as it readies a cash chest in a highly competitive market. In all, Swiggy was earlier set to raise $1.25 billion through its IPO, Rs 3,750 crore (around $450 million) in fresh issue and up to Rs 6,664 crore (around $800 million) as part of the offer-for-sale (OFS). However, once the companyâ€™s board approves the new proposal at its extraordinary general meeting (EGM) on October 3, the total IPO size will be around $1.4 billion, up from $1.25 billion, with the additional $150 million coming in via a fresh issue. There are no plans to change the OFS component yet. The change came days before Swiggy filed its DRHP. Moneycontrol was first to report about Swiggy filing its draft IPO papers with the capital markets regulator, via the confidential route, back on April 26. Since April, Swiggy has seen increased action in the secondaries market. Company shares have been changing hands at about Rs 330-350 apiece, Moneycontrol had earlier reported. HNIs and family offices have been buying shares in the company which was valued at $9-9.3 billion during secondary market transactions.
       "
"Sensex, Nifty hit record highs; here's a look at what's driving the rally",https://www.moneycontrol.com/news/business/markets/sensex-nifty-hit-record-highs-heres-a-look-at-the-key-drivers-of-the-rally-12826089.html,general," September 20, 2024 / 12:18   ","Sensex and NiftyÂ hit record highs ofÂ 84,240 andÂ 25,725 around noon on September 20 amid broad-based buying.Â The overall market capitalisation (mcap) of BSE-listed firms rose to nearly Rs 469 lakh crore. Around noon, the Sensex was up 965 points or 1.2 percent at 84,149 and the Nifty was up 290 points or 1.1 percent at 25,706. About 2,196 shares advanced, 1,071 shares declined, and 105 shares remained unchanged. Here are five factors driving the rally: 1. Global Market Optimism: Overnight, US benchmarks closed higher after the Fed cut interest rates by 50 basis points and signalled more cuts ahead. The S&P 500 and Dow Jones hit record highs, fueled by stronger-than-expected jobless claims data, boosting global risk appetite. Asia-Pacific markets were strong today, led by Japan's Nikkei 225. Japan's core consumer price index rose 2.8 percent year-on-year, ahead of the Bank of Japanâ€™s upcoming policy meeting, where rates are expected to remain steady at 0.25 percent. Follow our live blog for all the market action 2. Fed's Rate-Cutting Cycle:Â The Fed's pivot could influence the Reserve Bank of India's stance, with some analysts predicting a potential rate cut in the December policy meeting. ""This exerts pressure on the Reserve Bank of India (RBI) to think about a similar rate cut, especially while the domestic economy is still recovering,"" said Ravi Singh, SVP of Retail Research at Religare Broking. ""This start to the easing cycle provides some space to (emerging markets) EMs to kick-start theirs too, but with low global volatility thus far, the RBI is likely to remain focused on domestic dynamics,"" Emkay Global said in its FOMC review report. 3. Banking Stocks Lead the Charge: The Nifty Bank index rose for the seventh consecutive session and hit a fresh high of 53,357 led by gains in ICICI Bank, HDFC Bank, and Kotak Mahindra which were up 1-2 percent. Banking stocks hold the maximum weight in the benchmark indices. After having declined by 1.5 percent in July and 0.4 percent in August, the index has risen over 4 percent so far in September. Also Read |Â Defence stocks stage comeback as Mazagon Dock, Garden Reach Shipbuilders, Cochin Shipyard surge up to 10% 4. Participation From Midcaps and Smallcaps:Â The broader market rebounded today after facing selling pressure in the past couple of sessions. Both the BSE Midcap and Smallcap indices snapped a three-day losing run and rose by over a percentage each. 5. Expectations of Foreign Institutional Investors (FIIs) Buying:Â The Fed's interest rate cut is a positive factor for Indian equities as it boosts global liquidity, potentially attracting more foreign funds. ""Weakening dollar and falling interest rates in the US are generally positive for emerging markets like India. The FPIs have already started buying Indian equities in the past few weeks despite concerns about valuations. We belive resilient Indian macro should support India's equity valuation,"" saidÂ Jitendra Gohil, CFA Chief Investment Strategist, Kotak AlternateAsset Manages. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. "
"Vodafone Idea sees no impact of SC ruling on debt-funding, capex plans",https://www.moneycontrol.com/news/business/vodafone-idea-sees-no-impact-of-sc-ruling-on-debt-funding-capex-plans-12826002.html,general," September 20, 2024 / 12:08   ","Vodafone Idea Ltd expects its debt-raising and capital expenditure plans to remain unaffected by the Supreme Court's rejection of its curative plea for re-computation of dues it owes to the government, as lenders had accounted for an adverse outcome in their recent techno-economic evaluation, company officials said, requesting anonymity. However, analysts said that the apex court ruling could delay the telco’s debt-raising plans, hinder capex execution and lead to further market share losses. Analysts pinned their hopes on a positive AGR ruling as a “potential wildcard”, which could have improved Vodafone Idea's finances and its ability to compete with rivals. In the absence of an AGR relief, the telco could be staring at a financial crisis starting from the second half of financial year 2026 to the calendar year 2027. The time frame coincides with the company’s deadline to make its annual spectrum and AGR payments to the government, which are estimated to be up to $ 5 billion. Vodafone Idea has raised $2.4 billion in equity and is raising an additional $4 billion in debt. The telco, which has 200 million subscribers, has reached out to new lenders, including public sector non-banking financial companies (NBFCs). Telco remains hopefulA company source said, “The [SC] outcome does not impact our plan in any way. A positive outcome would have helped, but it won’t have any impact on our debt-fundraising and capex strategy.” The telco has outlined a capex plan of up to Rs 55,000 crore over three years to be executed through debt fundraising and equity raises. Vodafone Idea has earmarked a capex budget for 5G deployment and the expansion of 4G coverage in critical priority circles from the equity raise. The company claims to have sufficient funds from its recent capital raise to support its near-term capex needs. Earlier this week on September 19, the apex court dismissed curative petitions of telecom operators — led by Vodafone Idea and Bharti Airtel — seeking correction of computational errors related to pending AGR dues. A three-member SC bench, comprising Chief Justice of India D.Y. Chandrachud and Sanjiv Khanna, B.R. Gavai, dismissed the curation petitions. The way forward In a note, brokerage firm, Nomura, said that the AGR outcome was a material overhang on Vodafone Idea and there is an incremental visibility on the telco's way forward. Despite its large debt burden but manageable with government support in the coming years, Vodafone Idea will be able to steadily repair and rebuild its business and partake in the robust outlook for the Indian telecom industry, which is underpinned by clarity on significant tariff hikes for the next two years and 5G monetisation, Nomura said. ""The reality doesn't change for Vodafone Idea. But the debt raise will become challenging, and that will, in turn, impact its capex plan, resulting in delayed market share stabilisation and customer loss. Now, market share gain will be a much tougher task,"" an analyst associated with a leading brokerage told Moneyconytrol. The analyst said Vodafone Idea will require a capital infusion, primarily from its shareholders, unless the government extends the payment timeline. “The government should review the matter and intervene…else,  there is a risk and Vodafone Idea could be struggling. Such a scenario will not be good for the telecom sector,” said Mahesh Uppal, director, Com First (India). Uppal said the SC ruling will impact the teleco’s turnaround plan. “A positive outcome could have reduced the company’s burden,"" he added. In a note dated September 19, Credit Lyonnais Securities Asia (CLSA), a capital markets and investment group that focuses on alternative investments, said all options may not be exhausted for the telco. It cited a similar petition filed by the company in January 2021 after the SC’s AGR verdict on the 16-year-old case. Analysts at Macquarie, a global investment banking and financial services group, said though Vodafone Idea's tariff outlook has been improving, without AGR concessions, it would take at least up to 30 years at 15 per cent average revenue per user (ARPU) compound annual growth rate (CAGR) for the company to settle its outstanding dues. Hence, a further extension of the repayment deadline is required, it added. “In our base case, we continue to see market-share erosion and meaningful equity dilution risk,” Macquarie analysts said in a note on September 19. Based on a detailed self-assessment of AGR dues, Bharti Airtel paid $2.2 billion against the department of telecom’s (DoT) estimate of $5.3 billion. Similarly, Vodafone Idea had self-assessed AGR dues at $2.6 billion, against the DoT estimate of $7 billion. So far, the telco has paid $1 billion. Vodafone-Idea's net debt was $28 billion till the first quarter of 2024-25, including an AGR liability of $8.5 billion, of which 20 per cent is principal, and the rest represents interest and penalties. Earlier, in  September 2021, Vodafone Idea and Bharti Airtel had opted for a four-year moratorium on AGR and spectrum dues.
       "
PhysicsWallah raises $210 million in funding at $2.8 billion valuation,https://www.moneycontrol.com/news/business/startup/physicswallah-raises-210-million-in-funding-at-2-8-billion-valuation-12826132.html,general," September 20, 2024 / 12:21   ","Edtech unicorn Physics Wallah (PW) has closed its Series B funding round, raising $210 million through a combination of primary and secondary transactions. The round, led by Hornbill Capital, saw participation from Lightspeed Venture Partners, as well as existing investors GSV Ventures and WestBridge Capital. With this investment, the company’s post-money valuation has soared to $2.8 billion, a 2.5X increase from its previous valuation of $1.1 billion. Founded by teacher-turned-entrepreneur Alakh Pandey in 2016, the profitable edtech firm had previously raised $102 million from WestBridge and GSV Ventures in its maiden funding round. The latest round marks one of the largest primary capital raises in the edtech segment in recent times, signaling a renewed investor confidence after a long interval, especially as companies transition back to traditional learning methods while incorporating digital innovations. Following a drastic decline in investment during 2023, which fell to $321 million from a peak of $4.1 billion in 2021, the current funding is a strong indicator of recovery. According to a report by Tracxn, year-to-date funding in the Indian edtech sector stood at $215 million, showing a modest rebound from the $321 million secured by edtech startups in 2023. Funding in India’s edtech ecosystem plummeted post pandemic as educational institutions reopening impacted demand for online learning coupled with the corporate governance issue and financial crisis faced by beleaguered edtech company Byju’s that hit investors’ confidence in the sector. However, despite a modest recovery, the sector still has a long gap to cover up as funding in 2023 dropped by 87 percent from $2.4 billion raised in 2022. Edtech funding had peaked at $4.1 billion in 2021.  Focus on scale  In FY23, PhysicsWallah reported a threefold increase in operating revenue, reaching Rs 772 crore on a standalone basis. This surge was primarily fueled by the company’s expansion into offline education, which now contributes approximately 45 percent of its overall revenue. In an interview with Moneycontrol, Co-founder Prateek Maheshwari shared that the edtech firm has over Rs 1,200 crore in the bank to fuel its expansion, and will utilise the fresh capital wisely to scale up. Despite the dip in profits in FY23 due to increased spending on growth, Maheshwari and Pandey remain optimistic about the future. “FY25 will be our highest absolute EBITDA year,” Pandey confidently states. He explained that their revenue has already grown 2.5x in FY24, and their strategic decision to invest in offline centres, which many doubted, is now paying off. PW's net profit saw a decline to Rs 16 crore, down from Rs 98 crore in FY22, attributed to rising employee costs and provisioning for non-cash expenses that led to a significant increase in total expenses. ""The mandate for FY24 was to capture market share, which led to a dip in profits. However, we’re confident about the long-term roadmap. For FY25, we’re targeting more than 50% growth,"" the co-founder added.  Strategic expansion With the fresh capital, PhysicsWallah plans to bolster its operations significantly. The company is aiming to establish localised education centers--Micro hubs-- to enhance accessibility for students across India, and continuing its strategy of exploring mergers with community-driven education platforms to strengthen its market position. ""Our strategy is to avoid mega centers like Kota due to the high concentration of students and associated challenges. Instead, we are focusing on smaller, efficient centers closer to students' homes. This year, we are heavily expanding in South India but will continue to grow Vidhyapeth at a strong pace with mirco hubs,"" Maheshwari said. The edtech had previously acquired smaller firms such as Xylem Learning, PrepOnline, Altis Vortex. ""We are exploring opportunities in different geographies, particularly the South. We are also seeking smaller, growing platforms, particularly led by teachers, that share our philosophy of community building and have a brand affinity similar to Physics Wallah. We are not interested in large-scale acquisitions but rather in smaller entities,"" Pandey said.
       "
See More News,/news/,general,NA,
"Stock Market LIVE Updates: Nifty at 25,700, Sensex up 940 pts; M&M, JSW Steel, Coal India top gainers",https://www.moneycontrol.com/news/business/markets/stock-market-live-sensex-nifty-50-share-price-gift-nifty-latest-updates-20-09-2024-liveblog-12825932.html,general,NA,
Why banking stocks will continue to struggle even if RBI follows Fed's 50 bps rate cut path,https://www.moneycontrol.com/news/business/markets/why-banking-stocks-will-continue-to-struggle-even-if-rbi-follows-feds-50-bps-rate-cut-path-12826104.html,general," September 20, 2024 / 11:29   ","Rate sensitive stocks tend to rejoice on easing of monetary policy, and with the US Fed announcing a jumbo rate cut of 50 basis points, it is a no brainer that banking stocks may also attract huge investor interest. However, this time, it is different. While hopes for RBI to follow steps of the Fed have increased, market experts expect the underperformance of banking stocks to continue in the near-term on account of a combination of factors including trailing margins, sluggish deposit growth, and widening credit-to-deposit (CDR) ratio. Chokkalingam G, founder of Equinomics Research, cautioned that even if the RBI cuts interest rates, banking stocks are unlikely to see relief in the near term. He highlighted factors such as increased liquidity requirements, higher provisions for credit losses, slow deposit growth, and the widening CDR ratio as ongoing challenges that will keep banking stocks under pressure. So far this year, the Bank Nifty index has risen 9 percent, significantly underperforming benchmark Nifty 50's 16 percent gains. Dnyananda Vaidya, research analyst tracking BFSI sector at Axis Securities concurred to this view, saying that a rate cut by RBI would dent lenders margins in the near-term with higher share of repo-linked loans. Repo-linked loans adjust with changes in the repo rate, potentially narrowing the gap between deposit and loan rates, thereby, squeezing bank margins. However, the Street is split on whether a rate cut by the RBI will happen this year. While some experts anticipate a small rate cut in the October meeting, most are betting on a delayed cut, likely in December or even next year. Which lender will feel the most margin pressure? If the RBI mirrors the Fed's 50 bps rate cut, large private banks like HDFC Bank, Kotak Mahindra Bank, Axis Bank, and ICICI Bank are expected to see a margin impact of 15-20 bps, according to Nomura analysts. This is because 50-60 percent of their loan books are directly linked to the repo rate or external benchmarks.  Smaller private banks such as IndusInd Bank, AU Bank, and Bandhan Bank, which have a higher share of fixed-rate loans, will be less affected. Similarly, PSU banks like SBI, which has more MCLR-linked loans, will also experience less impact. Before FY20, banks didn't use repo rates or external benchmarks for floating rate loans; instead, they based lending rates on their internal benchmarks like the MCLR. In October 2019, the RBI mandated that new floating rate loans for retail and MSME sectors be linked to the repo rate or another external benchmark, making lending rates more sensitive to changes in external interest rates.  Despite the margin pressures, the overall impact on banks' return on assets (RoA) is expected to be limited, thanks to potential mark-to-market (MTM) gains from their treasury books, said Nomura. Treasury gains occur when bond prices rise after a rate cut, benefiting banks with large government bond portfolios. Large private lenders like HDFC Bank, Kotak Mahindra Bank, Axis Bank, and ICICI Bank are likely to see a 5-10 bps RoA impact, while IndusInd Bank, Bandhan Bank, and AU Bank will experience minimal RoA pressure. Will deposit, CASA ratio improve with a rate cut? Historically, the CASA ratio of the banking system has improved during rate cut cycles. For example, between FY15 and FY17, the CASA ratio rose by around 600 bps, and it improved by 260 bps between FY19 and FY21. However, the RBI's aggressive monetary tightening over the past two years caused the CASA ratio to drop by about 450 bps by March 2024. A future rate cut could help the CASA ratio recover from these low levels, as each 1 percentage point increase in the CASA ratio typically boosts banks' net interest margin (NIM) by 4-5 bps, according to Nomura analysts. Deposit growth could also improve if the RBI shifts to a more accommodative policy. Nomura projects system deposit growth to rise to 13 percent year-on-year for FY25, up from around 11% as of August 9, 2024. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. "
