Symbol,Identifier,Company,ISIN,Sector
HINDALCO,HINDALCOEQN,Hindalco Industries Limited,IN9038A01010,NIFTY 50
BHARTIARTL,BHARTIARTLEQN,Bharti Airtel Limited,INE397D01024,NIFTY 50
NTPC,NTPCEQN,NTPC Limited,INE733E07JE0,NIFTY 50
SHRIRAMFIN,SHRIRAMFINEQN,Shriram Finance Limited,INE721A07FY9,NIFTY 50
GRASIM,GRASIMEQN,Grasim Industries Limited,INE047A01021,NIFTY 50
JSWSTEEL,JSWSTEELEQN,JSW Steel Limited,INE019A01038,NIFTY 50
M&M,M&MEQN,Mahindra & Mahindra Limited,INE101A01026,NIFTY 50
EICHERMOT,EICHERMOTEQN,Eicher Motors Limited,INE066A01021,NIFTY 50
WIPRO,WIPROEQN,Wipro Limited,INE075A01022,NIFTY 50
ONGC,ONGCEQN,Oil & Natural Gas Corporation Limited,INE213A01029,NIFTY 50
ADANIPORTS,ADANIPORTSEQN,Adani Ports and Special Economic Zone Limited,INE742F01042,NIFTY 50
BAJAJ-AUTO,BAJAJ-AUTOEQN,Bajaj Auto Limited,INE917I01010,NIFTY 50
TECHM,TECHMEQN,Tech Mahindra Limited,INE669C01036,NIFTY 50
HEROMOTOCO,HEROMOTOCOEQN,Hero MotoCorp Limited,INE158A01026,NIFTY 50
TATASTEEL,TATASTEELEQN,Tata Steel Limited,IN9081A01010,NIFTY 50
LT,LTEQN,Larsen & Toubro Limited,INE018A01030,NIFTY 50
KOTAKBANK,KOTAKBANKEQN,Kotak Mahindra Bank Limited,INE237A01028,NIFTY 50
SBIN,SBINEQN,State Bank of India,INE062A08066,NIFTY 50
COALINDIA,COALINDIAEQN,Coal India Limited,INE522F01014,NIFTY 50
APOLLOHOSP,APOLLOHOSPEQN,Apollo Hospitals Enterprise Limited,INE437A01024,NIFTY 50
ULTRACEMCO,ULTRACEMCOEQN,UltraTech Cement Limited,INE481G01011,NIFTY 50
INFY,INFYEQN,Infosys Limited,INE009A01021,NIFTY 50
RELIANCE,RELIANCEEQN,Reliance Industries Limited,INE002A01018,NIFTY 50
HDFCLIFE,HDFCLIFEEQN,HDFC Life Insurance Company Limited,INE795G01014,NIFTY 50
INDUSINDBK,INDUSINDBKEQN,IndusInd Bank Limited,INE095A01012,NIFTY 50
TATACONSUM,TATACONSUMEQN,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,NIFTY 50
ADANIENT,ADANIENTEQN,Adani Enterprises Limited,INE423A01024,NIFTY 50
CIPLA,CIPLAEQN,Cipla Limited,INE059A01026,NIFTY 50
HINDUNILVR,HINDUNILVREQN,Hindustan Unilever Limited,INE030A01027,NIFTY 50
AXISBANK,AXISBANKEQN,Axis Bank Limited,INE238A01034,NIFTY 50
TITAN,TITANEQN,Titan Company Limited,INE280A07025,NIFTY 50
BRITANNIA,BRITANNIAEQN,Britannia Industries Limited,INE216A07052,NIFTY 50
LTIM,LTIMEQN,LTIMindtree Limited,INE214T01019,NIFTY 50
POWERGRID,POWERGRIDEQN,Power Grid Corporation of India Limited,INE752E01010,NIFTY 50
MARUTI,MARUTIEQN,Maruti Suzuki India Limited,INE585B01010,NIFTY 50
HDFCBANK,HDFCBANKEQN,HDFC Bank Limited,INE040A13013,NIFTY 50
BAJFINANCE,BAJFINANCEEQN,Bajaj Finance Limited,INE296A07039,NIFTY 50
HCLTECH,HCLTECHEQN,HCL Technologies Limited,INE860A01027,NIFTY 50
BAJAJFINSV,BAJAJFINSVEQN,Bajaj Finserv Limited,INE918I01026,NIFTY 50
TATAMOTORS,TATAMOTORSEQN,Tata Motors Limited,INE155A01022,NIFTY 50
ICICIBANK,ICICIBANKEQN,ICICI Bank Limited,INE090A01021,NIFTY 50
DRREDDY,DRREDDYEQN,Dr. Reddy's Laboratories Limited,INE089A08051,NIFTY 50
ITC,ITCEQN,ITC Limited,INE154A01025,NIFTY 50
SUNPHARMA,SUNPHARMAEQN,Sun Pharmaceutical Industries Limited,INE044A01036,NIFTY 50
BPCL,BPCLEQN,Bharat Petroleum Corporation Limited,INE029A01011,NIFTY 50
DIVISLAB,DIVISLABEQN,Divi's Laboratories Limited,INE361B01024,NIFTY 50
SBILIFE,SBILIFEEQN,SBI Life Insurance Company Limited,INE123W01016,NIFTY 50
TCS,TCSEQN,Tata Consultancy Services Limited,INE467B01029,NIFTY 50
ASIANPAINT,ASIANPAINTEQN,Asian Paints Limited,INE021A01026,NIFTY 50
NESTLEIND,NESTLEINDEQN,Nestle India Limited,INE239A01024,NIFTY 50
ZOMATO,ZOMATOEQN,Zomato Limited,INE758T01015,NIFTY NEXT 50
JINDALSTEL,JINDALSTELEQN,Jindal Steel & Power Limited,INE749A01030,NIFTY NEXT 50
VEDL,VEDLEQN,Vedanta Limited,INE205A01025,NIFTY NEXT 50
ADANIPOWER,ADANIPOWEREQN,Adani Power Limited,INE814H01011,NIFTY NEXT 50
VBL,VBLEQN,Varun Beverages Limited,INE200M01039,NIFTY NEXT 50
CHOLAFIN,CHOLAFINEQN,Cholamandalam Investment and Finance Company Limited,INE121A13011,NIFTY NEXT 50
MOTHERSON,MOTHERSONEQN,Samvardhana Motherson International Limited,INE775A01035,NIFTY NEXT 50
BOSCHLTD,BOSCHLTDEQN,Bosch Limited,INE323A01026,NIFTY NEXT 50
TVSMOTOR,TVSMOTOREQN,TVS Motor Company Limited,INE494B01023,NIFTY NEXT 50
HAVELLS,HAVELLSEQN,Havells India Limited,INE176B01034,NIFTY NEXT 50
CANBK,CANBKEQN,Canara Bank,INE476A01022,NIFTY NEXT 50
IOC,IOCEQN,Indian Oil Corporation Limited,INE242A01010,NIFTY NEXT 50
